county_fips,county_name,year,bea_real_gdp,bea_nominal_gdp,bea_real_gdp_construction
27001,Aitkin,2011,457081,400184,16904
27001,Aitkin,2012,422468,378096,19933
27001,Aitkin,2013,416890,381804,19853
27001,Aitkin,2014,392998,368247,20559
27001,Aitkin,2015,439042,421728,20799
27001,Aitkin,2016,444131,435159,27418
27001,Aitkin,2017,450099,450099,26369
27001,Aitkin,2018,467027,479256,25919
27001,Aitkin,2019,489996,517189,27190
27001,Aitkin,2020,464813,505676,26882
27001,Aitkin,2021,503357,572450,27813
27001,Aitkin,2022,473290,577431,30634
27001,Aitkin,2023,483077,620658,24401
27003,Anoka,2011,12958695,11760572,661830
27003,Anoka,2012,13266432,12302366,722567
27003,Anoka,2013,13706870,12919613,785162
27003,Anoka,2014,14235505,13605016,879638
27003,Anoka,2015,14571628,14247821,954282
27003,Anoka,2016,14878328,14719334,1030666
27003,Anoka,2017,14727190,14727190,1086132
27003,Anoka,2018,15328069,15591171,1090432
27003,Anoka,2019,15785235,16479874,1176800
27003,Anoka,2020,15300714,16380935,1162118
27003,Anoka,2021,15793419,17423436,1218865
27003,Anoka,2022,15629320,18699640,1117498
27003,Anoka,2023,15512869,19708571,1065699
27005,Becker,2011,1216175,1104357,92249
27005,Becker,2012,1292154,1201189,91450
27005,Becker,2013,1299962,1237905,87155
27005,Becker,2014,1314075,1268657,87713
27005,Becker,2015,1319300,1289187,91856
27005,Becker,2016,1401137,1373796,96759
27005,Becker,2017,1359790,1359790,94760
27005,Becker,2018,1425051,1453732,95068
27005,Becker,2019,1390867,1456572,89918
27005,Becker,2020,1368586,1471690,92857
27005,Becker,2021,1454043,1650216,100539
27005,Becker,2022,1440265,1806306,90041
27005,Becker,2023,1474589,1932549,89623
27007,Beltrami,2011,1485173,1321877,106053
27007,Beltrami,2012,1535313,1397105,108728
27007,Beltrami,2013,1555112,1448645,106822
27007,Beltrami,2014,1610196,1531584,109154
27007,Beltrami,2015,1644862,1597272,117232
27007,Beltrami,2016,1749862,1722650,119178
27007,Beltrami,2017,1683816,1683816,113698
27007,Beltrami,2018,1764875,1804546,117832
27007,Beltrami,2019,1795594,1881445,119109
27007,Beltrami,2020,1802268,1951057,111279
27007,Beltrami,2021,1872618,2125043,117485
27007,Beltrami,2022,1880788,2270541,116024
27007,Beltrami,2023,1907231,2399821,118131
27009,Benton,2011,1513792,1369642,112303
27009,Benton,2012,1549328,1435175,121747
27009,Benton,2013,1556286,1472022,122614
27009,Benton,2014,1611906,1546255,166182
27009,Benton,2015,1683936,1642224,182475
27009,Benton,2016,1795537,1771363,
27009,Benton,2017,1902500,1902500,184318
27009,Benton,2018,1827803,1852141,200618
27009,Benton,2019,1778211,1860239,226480
27009,Benton,2020,1749370,1880674,256338
27009,Benton,2021,1801291,2017759,254014
27009,Benton,2022,1796204,2217939,237566
27009,Benton,2023,1790237,2347370,244556
27011,Big Stone,2011,186024,168134,18020
27011,Big Stone,2012,238453,220952,19181
27011,Big Stone,2013,225427,218599,19046
27011,Big Stone,2014,205740,200046,19802
27011,Big Stone,2015,227497,220540,21047
27011,Big Stone,2016,214803,209703,21636
27011,Big Stone,2017,207174,207174,20128
27011,Big Stone,2018,197783,203074,17842
27011,Big Stone,2019,190667,201995,17059
27011,Big Stone,2020,220178,238645,21021
27011,Big Stone,2021,230938,274657,17149
27011,Big Stone,2022,241329,327078,16480
27011,Big Stone,2023,232892,315786,15972
27013,Blue Earth,2011,3603094,3300389,140960
27013,Blue Earth,2012,3840426,3601815,139975
27013,Blue Earth,2013,3946259,3773735,155993
27013,Blue Earth,2014,4053415,3916970,169948
27013,Blue Earth,2015,4162265,4065269,194658
27013,Blue Earth,2016,4117646,4059278,185516
27013,Blue Earth,2017,4045039,4045039,192904
27013,Blue Earth,2018,4030700,4098053,187096
27013,Blue Earth,2019,4071899,4237108,200959
27013,Blue Earth,2020,3938744,4192787,179409
27013,Blue Earth,2021,4074112,4570511,196285
27013,Blue Earth,2022,4103876,4981515,209550
27013,Blue Earth,2023,4120356,5227161,199791
27015,Brown,2011,1259246,1170290,70491
27015,Brown,2012,1279032,1223530,78064
27015,Brown,2013,1299093,1274360,76201
27015,Brown,2014,1307079,1290184,72966
27015,Brown,2015,1358644,1341043,76884
27015,Brown,2016,1478887,1454120,81989
27015,Brown,2017,1505083,1505083,70028
27015,Brown,2018,1534101,1552206,66270
27015,Brown,2019,1446993,1498843,70343
27015,Brown,2020,1351373,1427959,64504
27015,Brown,2021,1421601,1590626,73713
27015,Brown,2022,1442851,1781585,66180
27015,Brown,2023,1457954,1874601,63638
27017,Carlton,2011,1284126,1112579,79760
27017,Carlton,2012,1225385,1081572,79843
27017,Carlton,2013,1241626,1126469,102285
27017,Carlton,2014,1205115,1120717,122338
27017,Carlton,2015,1226793,1178227,93788
27017,Carlton,2016,1278416,1251575,103063
27017,Carlton,2017,1324265,1324265,108567
27017,Carlton,2018,1339278,1373338,85756
27017,Carlton,2019,1363424,1427649,83700
27017,Carlton,2020,1326485,1421596,83755
27017,Carlton,2021,1448583,1615600,99075
27017,Carlton,2022,1430547,1743775,93835
27017,Carlton,2023,1384536,1792864,80268
27019,Carver,2011,4410335,4020358,203295
27019,Carver,2012,4583092,4266130,195314
27019,Carver,2013,4703368,4439531,214116
27019,Carver,2014,4962221,4736506,240409
27019,Carver,2015,5148140,5017679,274932
27019,Carver,2016,5059174,5000047,310883
27019,Carver,2017,5349277,5349277,366112
27019,Carver,2018,5498495,5586315,367214
27019,Carver,2019,5526704,5742117,409525
27019,Carver,2020,5207051,5524377,375517
27019,Carver,2021,5645567,6187296,393939
27019,Carver,2022,5878041,6901200,366232
27019,Carver,2023,5810593,7202484,379245
27021,Cass,2011,880450,766596,54228
27021,Cass,2012,872045,777568,58732
27021,Cass,2013,873317,798624,58298
27021,Cass,2014,855406,801537,56195
27021,Cass,2015,949765,913091,58328
27021,Cass,2016,968619,948786,64361
27021,Cass,2017,992683,992683,64628
27021,Cass,2018,1015959,1041815,67397
27021,Cass,2019,996691,1050945,68349
27021,Cass,2020,942945,1022783,63404
27021,Cass,2021,1296108,1459252,309932
27021,Cass,2022,1051565,1273223,78086
27021,Cass,2023,1006463,1287189,51706
27023,Chippewa,2011,591381,539802,38547
27023,Chippewa,2012,636923,596835,36933
27023,Chippewa,2013,607828,592522,30302
27023,Chippewa,2014,553638,542915,23733
27023,Chippewa,2015,586511,575200,21983
27023,Chippewa,2016,555437,548047,30610
27023,Chippewa,2017,570349,570349,24072
27023,Chippewa,2018,557223,567747,21202
27023,Chippewa,2019,532755,556555,17988
27023,Chippewa,2020,541949,581237,18581
27023,Chippewa,2021,587587,674467,31046
27023,Chippewa,2022,588449,745073,26845
27023,Chippewa,2023,608302,787802,30854
27025,Chisago,2011,1458131,1282290,90258
27025,Chisago,2012,1307134,1177336,108977
27025,Chisago,2013,1462751,1345474,112717
27025,Chisago,2014,1450506,1360331,108469
27025,Chisago,2015,1471309,1420745,119437
27025,Chisago,2016,1519500,1497978,137927
27025,Chisago,2017,1544816,1544816,136617
27025,Chisago,2018,1592989,1626329,149346
27025,Chisago,2019,1617907,1697531,158635
27025,Chisago,2020,1548817,1674279,137005
27025,Chisago,2021,1669399,1866437,140189
27025,Chisago,2022,1691609,2029956,134496
27025,Chisago,2023,1677231,2130286,113512
27027,Clay,2011,1822081,1598442,106891
27027,Clay,2012,1966487,1774699,106717
27027,Clay,2013,1997478,1848860,104370
27027,Clay,2014,1922213,1812199,103394
27027,Clay,2015,2065545,1998306,118797
27027,Clay,2016,2034460,2001657,124418
27027,Clay,2017,1970837,1970837,123904
27027,Clay,2018,2001213,2049210,103342
27027,Clay,2019,2083993,2193335,96925
27027,Clay,2020,2039567,2205243,112693
27027,Clay,2021,2162527,2465752,141808
27027,Clay,2022,2189254,2700916,127070
27027,Clay,2023,2191911,2823407,123116
27029,Clearwater,2011,275595,241360,33076
27029,Clearwater,2012,263294,237081,33743
27029,Clearwater,2013,299979,276629,37772
27029,Clearwater,2014,358414,338062,29212
27029,Clearwater,2015,298086,290162,35040
27029,Clearwater,2016,329581,323610,37176
27029,Clearwater,2017,313494,313494,30666
27029,Clearwater,2018,296417,299602,25307
27029,Clearwater,2019,265147,275424,34765
27029,Clearwater,2020,265231,282254,39190
27029,Clearwater,2021,320329,351644,68724
27029,Clearwater,2022,292969,348139,38715
27029,Clearwater,2023,297562,372748,52514
27031,Cook,2011,333231,293643,21220
27031,Cook,2012,326041,290062,21344
27031,Cook,2013,336962,307346,21347
27031,Cook,2014,317142,300944,18742
27031,Cook,2015,325494,315302,20637
27031,Cook,2016,300136,293992,21285
27031,Cook,2017,256012,256012,21538
27031,Cook,2018,285289,293665,22016
27031,Cook,2019,266029,281704,19707
27031,Cook,2020,240250,258042,16791
27031,Cook,2021,255941,288518,17578
27031,Cook,2022,280306,339090,14335
27031,Cook,2023,290326,370753,17624
27033,Cottonwood,2011,583666,553804,23120
27033,Cottonwood,2012,582853,569442,26077
27033,Cottonwood,2013,559304,569131,24577
27033,Cottonwood,2014,563072,572614,24730
27033,Cottonwood,2015,585533,581072,25856
27033,Cottonwood,2016,597826,579284,24677
27033,Cottonwood,2017,639431,639431,21585
27033,Cottonwood,2018,651488,654738,22140
27033,Cottonwood,2019,591106,607579,24115
27033,Cottonwood,2020,650704,678714,28480
27033,Cottonwood,2021,674775,778544,23889
27033,Cottonwood,2022,686614,893242,22657
27033,Cottonwood,2023,628206,828192,23306
27035,Crow Wing,2011,2844849,2289750,166698
27035,Crow Wing,2012,2918223,2417329,187768
27035,Crow Wing,2013,2917700,2450578,190959
27035,Crow Wing,2014,3058475,2605349,201850
27035,Crow Wing,2015,3086741,2715761,213014
27035,Crow Wing,2016,2832715,2812293,220111
27035,Crow Wing,2017,2736565,2736565,225550
27035,Crow Wing,2018,2800986,2862966,213245
27035,Crow Wing,2019,2922993,3063681,233133
27035,Crow Wing,2020,2811224,3028045,254980
27035,Crow Wing,2021,2885667,3228076,274115
27035,Crow Wing,2022,2972114,3573275,243416
27035,Crow Wing,2023,3023273,3832942,234438
27037,Dakota,2011,21608394,20645485,962508
27037,Dakota,2012,22457694,21997210,1027565
27037,Dakota,2013,23352815,22751622,1197450
27037,Dakota,2014,25110560,24639100,1310756
27037,Dakota,2015,24934669,24696034,1362115
27037,Dakota,2016,25275475,24740032,1266045
27037,Dakota,2017,25137857,25137857,1325972
27037,Dakota,2018,26588271,27562007,1474750
