county_fips,county_name_bea,year,bea_personal_income,bea_population,bea_pc_income
27001,Aitkin,2011,496117,16148,30723
27001,Aitkin,2012,497950,15998,31126
27001,Aitkin,2013,500895,15815,31672
27001,Aitkin,2014,534322,15776,33869
27001,Aitkin,2015,552481,15763,35049
27001,Aitkin,2016,568913,15642,36371
27001,Aitkin,2017,594427,15667,37941
27001,Aitkin,2018,633869,15738,40276
27001,Aitkin,2019,655457,15675,41815
27001,Aitkin,2020,737413,15714,46927
27001,Aitkin,2021,811145,15951,50852
27001,Aitkin,2022,789034,16142,48881
27001,Aitkin,2023,836331,16139,51820
27001,Aitkin,2024,877408,16335,53713
27003,Anoka,2011,13613178,333469,40823
27003,Anoka,2012,14145817,337106,41963
27003,Anoka,2013,14444487,340545,42416
27003,Anoka,2014,15308282,343786,44529
27003,Anoka,2015,16033898,346545,46268
27003,Anoka,2016,16466131,349554,47106
27003,Anoka,2017,17270969,353776,48819
27003,Anoka,2018,18035585,357621,50432
27003,Anoka,2019,19000875,361593,52548
27003,Anoka,2020,20317497,364502,55740
27003,Anoka,2021,21826971,367835,59339
27003,Anoka,2022,22243427,369479,60202
27003,Anoka,2023,23257609,373090,62338
27003,Anoka,2024,24459050,376840,64906
27005,Becker,2011,1228605,32851,37399
27005,Becker,2012,1328410,33147,40076
27005,Becker,2013,1339818,33409,40104
27005,Becker,2014,1370585,33555,40846
27005,Becker,2015,1431881,33811,42350
27005,Becker,2016,1469520,34151,43030
27005,Becker,2017,1526134,34581,44132
27005,Becker,2018,1596747,34962,45671
27005,Becker,2019,1666956,35088,47508
27005,Becker,2020,1811021,35205,51442
27005,Becker,2021,2006394,35348,56761
27005,Becker,2022,2028677,35387,57328
27005,Becker,2023,2137893,35330,60512
27005,Becker,2024,2246063,35444,63369
27007,Beltrami,2011,1442111,44907,32113
27007,Beltrami,2012,1504236,44890,33509
27007,Beltrami,2013,1529933,45115,33912
27007,Beltrami,2014,1629655,45144,36099
27007,Beltrami,2015,1695584,44998,37681
27007,Beltrami,2016,1754174,45303,38721
27007,Beltrami,2017,1812724,45625,39731
27007,Beltrami,2018,1922130,45732,42030
