county_fips,county_name_bps,year,bps_total_bldgs,bps_total_bldgs_rep,bps_total_units,bps_total_units_rep,bps_total_value,bps_total_value_rep,bps_bldgs_1_unit,bps_bldgs_1_unit_rep,bps_bldgs_2_units,bps_bldgs_2_units_rep,bps_bldgs_3_4_units,bps_bldgs_3_4_units_rep,bps_bldgs_5_units,bps_bldgs_5_units_rep,bps_units_1_unit,bps_units_1_unit_rep,bps_units_2_units,bps_units_2_units_rep,bps_units_3_4_units,bps_units_3_4_units_rep,bps_units_5_units,bps_units_5_units_rep,bps_value_1_unit,bps_value_1_unit_rep,bps_value_2_units,bps_value_2_units_rep,bps_value_3_4_units,bps_value_3_4_units_rep,bps_value_5_units,bps_value_5_units_rep
27001,Aitkin,2011,123,123,123,123,20280995,20280995,123,123,0,0,0,0,0,0,123,123,0,0,0,0,0,0,20280995,20280995,0,0,0,0,0,0
27001,Aitkin,2012,69,69,69,69,12051896,12051896,69,69,0,0,0,0,0,0,69,69,0,0,0,0,0,0,12051896,12051896,0,0,0,0,0,0
27001,Aitkin,2013,97,97,97,97,17675727,17675727,97,97,0,0,0,0,0,0,97,97,0,0,0,0,0,0,17675727,17675727,0,0,0,0,0,0
27001,Aitkin,2014,175,175,175,175,34080323,34080323,175,175,0,0,0,0,0,0,175,175,0,0,0,0,0,0,34080323,34080323,0,0,0,0,0,0
27001,Aitkin,2015,122,122,122,122,24580915,24580915,122,122,0,0,0,0,0,0,122,122,0,0,0,0,0,0,24580915,24580915,0,0,0,0,0,0
27001,Aitkin,2016,155,155,155,155,32157494,32157494,155,155,0,0,0,0,0,0,155,155,0,0,0,0,0,0,32157494,32157494,0,0,0,0,0,0
27001,Aitkin,2017,168,168,168,168,35385231,35385231,168,168,0,0,0,0,0,0,168,168,0,0,0,0,0,0,35385231,35385231,0,0,0,0,0,0
27001,Aitkin,2018,112,110,112,110,23911010,23595010,112,110,0,0,0,0,0,0,112,110,0,0,0,0,0,0,23911010,23595010,0,0,0,0,0,0
27001,Aitkin,2019,119,117,119,117,26631445,26315445,119,117,0,0,0,0,0,0,119,117,0,0,0,0,0,0,26631445,26315445,0,0,0,0,0,0
27001,Aitkin,2020,149,147,149,147,35264338,34948338,149,147,0,0,0,0,0,0,149,147,0,0,0,0,0,0,35264338,34948338,0,0,0,0,0,0
27001,Aitkin,2021,153,151,153,151,37278580,36962580,153,151,0,0,0,0,0,0,153,151,0,0,0,0,0,0,37278580,36962580,0,0,0,0,0,0
27001,Aitkin,2022,165,165,165,165,44724141,44724141,165,165,0,0,0,0,0,0,165,165,0,0,0,0,0,0,44724141,44724141,0,0,0,0,0,0
27001,Aitkin,2023,145,143,145,143,43329597,42884097,145,143,0,0,0,0,0,0,145,143,0,0,0,0,0,0,43329597,42884097,0,0,0,0,0,0
27001,Aitkin,2024,135,132,135,132,42745387,42012387,135,132,0,0,0,0,0,0,135,132,0,0,0,0,0,0,42745387,42012387,0,0,0,0,0,0
27003,Anoka,2011,539,538,539,538,124444697,124159494,539,538,0,0,0,0,0,0,539,538,0,0,0,0,0,0,124444697,124159494,0,0,0,0,0,0
27003,Anoka,2012,728,719,1051,1042,202032829,199904968,716,707,0,0,9,9,3,3,716,707,0,0,30,30,305,305,173409713,171281852,0,0,4005581,4005581,24617535,24617535
27003,Anoka,2013,840,840,911,911,210094852,210094852,839,839,0,0,0,0,1,1,839,839,0,0,0,0,72,72,201594852,201594852,0,0,0,0,8500000,8500000
27003,Anoka,2014,703,696,704,697,189404197,187829274,702,695,1,1,0,0,0,0,702,695,2,2,0,0,0,0,189100197,187525274,304000,304000,0,0,0,0
27003,Anoka,2015,779,779,795,795,213096576,213096576,775,775,2,2,0,0,2,2,775,775,4,4,0,0,16,16,209717714,209717714,700062,700062,0,0,2678800,2678800
27003,Anoka,2016,923,918,1287,1282,298342373,296884535,910,905,5,5,0,0,8,8,910,905,10,10,0,0,367,367,247784341,246326503,1650000,1650000,0,0,48908032,48908032
27003,Anoka,2017,1054,1054,1407,1407,327744933,327744933,1045,1045,2,2,4,4,3,3,1045,1045,4,4,16,16,342,342,276498436,276498436,604528,604528,2833319,2833319,47808650,47808650
27003,Anoka,2018,933,933,1693,1693,370419867,370419867,922,922,4,4,0,0,7,7,922,922,8,8,0,0,763,763,251502522,251502522,2080445,2080445,0,0,116836900,116836900
27003,Anoka,2019,980,980,1276,1276,303229285,303229285,975,975,0,0,1,1,4,4,975,975,0,0,3,3,298,298,273364363,273364363,0,0,583186,583186,29281736,29281736
27003,Anoka,2020,1103,1103,1670,1670,386726989,386726989,1087,1087,1,1,6,6,9,9,1087,1087,2,2,24,24,557,557,312014681,312014681,741863,741863,4867525,4867525,69102920,69102920
27003,Anoka,2021,1388,1388,2481,2481,568322722,568322722,1345,1345,5,5,10,10,28,28,1345,1345,10,10,40,40,1086,1086,385671378,385671378,2514248,2514248,8916938,8916938,171220158,171220158
27003,Anoka,2022,1066,1066,1912,1912,447191622,447191622,1043,1043,5,5,3,3,15,15,1043,1043,10,10,11,11,848,848,302255277,302255277,2525194,2525194,2720251,2720251,139690900,139690900
27003,Anoka,2023,811,784,1059,1032,302205723,291368888,784,757,9,9,8,8,10,10,784,757,18,18,29,29,228,228,253289185,242452350,3912107,3912107,5119092,5119092,39885339,39885339
27003,Anoka,2024,929,929,1062,1062,337294628,337294628,898,898,2,2,11,11,18,18,898,898,4,4,41,41,119,119,302686987,302686987,840000,840000,6949213,6949213,26818428,26818428
27005,Becker,2011,96,74,137,74,17005640,11879082,94,74,0,0,0,0,2,0,94,74,0,0,0,0,43,0,14232012,11879082,0,0,0,0,2773628,0
27005,Becker,2012,120,120,120,120,20459703,20459703,120,120,0,0,0,0,0,0,120,120,0,0,0,0,0,0,20459703,20459703,0,0,0,0,0,0
27005,Becker,2013,124,89,125,90,27489152,19944000,123,88,1,1,0,0,0,0,123,88,2,2,0,0,0,0,27089152,19544000,400000,400000,0,0,0,0
27005,Becker,2014,146,111,146,111,29024919,21427704,146,111,0,0,0,0,0,0,146,111,0,0,0,0,0,0,29024919,21427704,0,0,0,0,0,0
27005,Becker,2015,168,128,168,128,33638961,24956429,168,128,0,0,0,0,0,0,168,128,0,0,0,0,0,0,33638961,24956429,0,0,0,0,0,0
27005,Becker,2016,171,6,171,6,33959126,709593,171,6,0,0,0,0,0,0,171,6,0,0,0,0,0,0,33959126,709593,0,0,0,0,0,0
27005,Becker,2017,179,179,233,233,35830392,35830392,178,178,0,0,0,0,1,1,178,178,0,0,0,0,55,55,31330392,31330392,0,0,0,0,4500000,4500000
27005,Becker,2018,149,147,192,147,34075584,30225584,148,147,0,0,0,0,1,0,148,147,0,0,0,0,44,0,30475584,30225584,0,0,0,0,3600000,0
27005,Becker,2019,206,201,251,201,43775253,39366617,205,201,0,0,0,0,1,0,205,201,0,0,0,0,46,0,40011617,39366617,0,0,0,0,3763636,0
