cbp_const_emp,cbp_const_q1_payroll,cbp_const_annual_payroll,cbp_const_establishments,year,county_fips
0,642,4422,67,2011,27001
115,837,5340,65,2012,27001
130,828,5233,66,2013,27001
0,874,6169,59,2014,27001
127,995,7101,65,2015,27001
134,1105,6994,61,2016,27001
157,1301,7922,60,2017,27001
153,1350,9014,61,2018,27001
178,1679,9594,61,2019,27001
176,1655,10064,62,2020,27001
186,1896,11261,67,2021,27001
205,2173,12477,69,2022,27001
227,2631,13836,66,2023,27001
5701,59280,318508,1199,2011,27003
6218,69670,355143,1214,2012,27003
6618,78005,414871,1200,2013,27003
7572,93072,486546,1227,2014,27003
8191,103465,530247,1257,2015,27003
8476,112423,569851,1262,2016,27003
8407,119139,613025,1269,2017,27003
8966,131018,642419,1326,2018,27003
9280,138649,686891,1322,2019,27003
9569,149535,687545,1339,2020,27003
9073,139177,747986,1369,2021,27003
9862,161595,784208,1401,2022,27003
9948,185326,879839,1392,2023,27003
476,3309,20560,162,2011,27005
504,3921,24293,169,2012,27005
492,3956,24802,159,2013,27005
496,4171,26828,164,2014,27005
524,4743,30630,165,2015,27005
550,5253,30313,162,2016,27005
493,5190,30759,168,2017,27005
559,5685,33892,169,2018,27005
534,5422,33555,162,2019,27005
570,5946,38231,177,2020,27005
596,6598,43227,178,2021,27005
657,7664,46625,178,2022,27005
633,9142,55501,185,2023,27005
1266,16772,82770,157,2011,27007
1048,9096,59356,160,2012,27007
990,9564,60263,158,2013,27007
2140,30751,122176,154,2014,27007
1022,10939,96946,146,2015,27007
909,10002,69189,161,2016,27007
912,9060,63260,158,2017,27007
913,10349,64568,153,2018,27007
949,11794,70841,151,2019,27007
1035,13722,78982,159,2020,27007
1048,13904,91378,166,2021,27007
1236,17157,105619,168,2022,27007
1398,22624,116828,169,2023,27007
1374,13591,73556,181,2011,27009
1522,16104,86432,179,2012,27009
1565,16081,89280,179,2013,27009
1662,17924,94947,189,2014,27009
1725,18498,102968,185,2015,27009
1645,20632,111976,180,2016,27009
2047,24415,118226,182,2017,27009
2182,31241,161884,181,2018,27009
2248,34529,180464,187,2019,27009
2335,37771,189311,183,2020,27009
2312,35437,187669,182,2021,27009
2396,39165,217193,178,2022,27009
2707,47893,236716,184,2023,27009
119,771,4304,25,2011,27011
164,1171,12909,26,2012,27011
131,1029,12883,23,2013,27011
156,1189,14713,22,2014,27011
141,1215,15366,25,2015,27011
166,1521,17288,26,2016,27011
155,1512,16629,26,2017,27011
139,1511,14148,27,2018,27011
139,1465,14720,25,2019,27011
141,1742,17956,25,2020,27011
145,1656,19188,24,2021,27011
137,1545,19612,26,2022,27011
123,1546,22705,24,2023,27011
1299,11365,69651,226,2011,27013
1365,12985,71908,223,2012,27013
1308,12105,73430,221,2013,27013
1483,14434,78985,219,2014,27013
1511,15789,92294,223,2015,27013
1539,17242,94084,222,2016,27013
1684,20875,109075,223,2017,27013
1611,20972,109797,224,2018,27013
1630,21470,115598,227,2019,27013
1623,23148,113659,231,2020,27013
1620,22668,120355,229,2021,27013
1653,22862,123170,217,2022,27013
1728,26291,136576,228,2023,27013
490,3482,23754,95,2011,27015
449,3908,25873,91,2012,27015
453,4003,27553,99,2013,27015
457,4339,30605,98,2014,27015
548,5869,34439,99,2015,27015
620,6483,37081,100,2016,27015
637,7398,37200,93,2017,27015
498,6192,35483,94,2018,27015
577,5435,37678,97,2019,27015
495,5959,39923,96,2020,27015
500,5934,45072,103,2021,27015
477,5980,41802,103,2022,27015
448,6419,44070,95,2023,27015
240,2152,15630,87,2011,27017
274,2982,20361,89,2012,27017
286,2920,21173,90,2013,27017
314,3800,22947,89,2014,27017
469,6788,35277,89,2015,27017
304,4547,28701,89,2016,27017
311,4259,26120,83,2017,27017
301,3929,25681,82,2018,27017
295,3507,26536,85,2019,27017
317,4509,29200,88,2020,27017
303,4484,32696,90,2021,27017
359,7411,45197,94,2022,27017
541,14179,71831,102,2023,27017
1301,13758,74506,352,2011,27019
1264,14984,82092,355,2012,27019
1397,17020,92859,358,2013,27019
1562,20178,107190,382,2014,27019
1652,21503,114861,373,2015,27019
1754,22763,120724,369,2016,27019
1841,26799,139796,369,2017,27019
1967,31660,156290,372,2018,27019
2301,34402,179041,382,2019,27019
2398,40344,172206,384,2020,27019
2172,34840,180583,389,2021,27019
2201,32105,193798,383,2022,27019
2360,45222,214344,386,2023,27019
349,2173,13101,126,2011,27021
302,2115,12930,120,2012,27021
311,2195,14250,122,2013,27021
341,2331,15683,130,2014,27021
360,2637,17421,137,2015,27021
392,2831,18706,133,2016,27021
393,3230,20358,143,2017,27021
404,3429,21399,141,2018,27021
408,3577,22767,148,2019,27021
432,3896,24175,148,2020,27021
433,4253,26503,154,2021,27021
470,4876,29361,162,2022,27021
476,5430,33114,164,2023,27021
321,4805,21371,57,2011,27023
310,3654,17855,51,2012,27023
335,3211,19069,54,2013,27023
339,3804,18591,54,2014,27023
304,3810,19131,55,2015,27023
289,3521,19060,50,2016,27023
319,3771,18658,54,2017,27023
258,3451,17891,52,2018,27023
278,3313,17052,51,2019,27023
259,3428,18525,49,2020,27023
257,3429,19930,53,2021,27023
215,2279,14984,52,2022,27023
188,1871,13508,52,2023,27023
586,4769,39803,228,2011,27025
551,4586,41245,218,2012,27025
704,5860,46979,208,2013,27025
740,6519,48243,219,2014,27025
775,7616,59000,216,2015,27025
812,8478,65756,214,2016,27025
1011,11712,73664,225,2017,27025
1069,12929,80812,222,2018,27025
1060,13527,92112,221,2019,27025
996,13401,86253,237,2020,27025
1033,14297,96023,248,2021,27025
1115,15639,101787,249,2022,27025
1061,17207,106068,251,2023,27025
752,6541,39522,176,2011,27027
835,8776,49918,176,2012,27027
1015,12377,67303,181,2013,27027
1098,13961,72197,179,2014,27027
1256,15578,81739,186,2015,27027
1313,16500,87308,193,2016,27027
918,10845,55480,194,2017,27027
929,10449,58803,201,2018,27027
937,10758,62636,205,2019,27027
976,11832,70103,206,2020,27027
1049,12725,76860,206,2021,27027
977,12872,77474,202,2022,27027
925,13884,74497,194,2023,27027
131,954,18169,31,2011,27029
495,6169,39016,33,2012,27029
845,16398,79467,34,2013,27029
316,4518,26278,33,2014,27029
525,8716,57084,34,2015,27029
485,7868,57542,37,2016,27029
520,6981,34280,37,2017,27029
278,4257,27500,35,2018,27029
323,5640,37469,37,2019,27029
345,6594,43188,34,2020,27029
509,9582,52394,35,2021,27029
255,5976,43760,34,2022,27029
294,8181,55221,36,2023,27029
108,644,4411,49,2011,27031
98,615,4492,51,2012,27031
104,646,4546,48,2013,27031
107,633,4433,50,2014,27031
95,684,4989,47,2015,27031
118,876,5556,49,2016,27031
111,900,5549,52,2017,27031
126,981,5880,56,2018,27031
130,1018,5913,55,2019,27031
121,974,6212,48,2020,27031
126,1171,7263,48,2021,27031
128,1276,7018,51,2022,27031
131,1386,7832,51,2023,27031
169,1091,7470,45,2011,27033
184,1380,8276,44,2012,27033
185,1434,8889,49,2013,27033
191,1546,9244,46,2014,27033
203,1669,10685,47,2015,27033
214,1810,11209,47,2016,27033
198,1848,10774,46,2017,27033
234,2008,12015,42,2018,27033
