county_fips,state_name,county_name,year,pop_total,pop_growth_rate
27001,Minnesota,Aitkin County,2011,16170,
27001,Minnesota,Aitkin County,2012,16036,-0.8286951144093946
27001,Minnesota,Aitkin County,2013,15872,-1.0226989274133236
27001,Minnesota,Aitkin County,2014,15849,-0.14490927419354982
27001,Minnesota,Aitkin County,2015,15852,0.018928639030857397
27001,Minnesota,Aitkin County,2016,15754,-0.6182185213222335
27001,Minnesota,Aitkin County,2017,15792,0.24120858194744965
27001,Minnesota,Aitkin County,2018,15887,0.60157041540021
27001,Minnesota,Aitkin County,2019,15886,-0.006294454585509257
27001,Minnesota,Aitkin County,2020,15708,-1.120483444542364
27001,Minnesota,Aitkin County,2021,15954,1.5660809778456741
27001,Minnesota,Aitkin County,2022,16148,1.2159959884668448
27001,Minnesota,Aitkin County,2023,16131,-0.10527619519444809
27001,Minnesota,Aitkin County,2024,16283,0.9422850412249772
27001,Minnesota,Aitkin County,2025,16252,-0.19038260762758163
27003,Minnesota,Anoka County,2011,332903,
27003,Minnesota,Anoka County,2012,336091,0.9576363084742301
27003,Minnesota,Anoka County,2013,339075,0.8878547774263446
27003,Minnesota,Anoka County,2014,341871,0.8245963282459634
27003,Minnesota,Anoka County,2015,344176,0.6742309233599864
27003,Minnesota,Anoka County,2016,346526,0.6827902003626152
27003,Minnesota,Anoka County,2017,350203,1.0611036401309004
27003,Minnesota,Anoka County,2018,353441,0.924606585323362
27003,Minnesota,Anoka County,2019,356921,0.9846056343208565
27003,Minnesota,Anoka County,2020,364474,2.116154555209704
27003,Minnesota,Anoka County,2021,367557,0.8458765234282906
27003,Minnesota,Anoka County,2022,369468,0.5199193594462859
27003,Minnesota,Anoka County,2023,373182,1.0052291402773639
27003,Minnesota,Anoka County,2024,377855,1.2522040184146155
27003,Minnesota,Anoka County,2025,381605,0.9924441915549531
27005,Minnesota,Becker County,2011,32764,
27005,Minnesota,Becker County,2012,32990,0.689781467464301
27005,Minnesota,Becker County,2013,33181,0.5789633222188506
27005,Minnesota,Becker County,2014,33257,0.2290467436183441
27005,Minnesota,Becker County,2015,33445,0.565294524461013
27005,Minnesota,Becker County,2016,33718,0.8162655105396821
27005,Minnesota,Becker County,2017,34082,1.0795420843466408
27005,Minnesota,Becker County,2018,34389,0.9007687342292181
27005,Minnesota,Becker County,2019,34423,0.09886882433336464
27005,Minnesota,Becker County,2020,35184,2.2107311971646837
27005,Minnesota,Becker County,2021,35322,0.392223738062758
27005,Minnesota,Becker County,2022,35355,0.09342619330727775
27005,Minnesota,Becker County,2023,35282,-0.20647716023193263
27005,Minnesota,Becker County,2024,35385,0.2919335638569276
27005,Minnesota,Becker County,2025,35497,0.3165182987141524
27007,Minnesota,Beltrami County,2011,45052,
27007,Minnesota,Beltrami County,2012,45147,0.21086744206695318
27007,Minnesota,Beltrami County,2013,45487,0.7530954437725557
27007,Minnesota,Beltrami County,2014,45636,0.3275661177918998
27007,Minnesota,Beltrami County,2015,45605,-0.06792882811815781
27007,Minnesota,Beltrami County,2016,46008,0.8836750356320477
27007,Minnesota,Beltrami County,2017,46477,1.0193879325334665
27007,Minnesota,Beltrami County,2018,46735,0.5551132818383264
27007,Minnesota,Beltrami County,2019,47188,0.9692949609500401
27007,Minnesota,Beltrami County,2020,46232,-2.0259387979994936
27007,Minnesota,Beltrami County,2021,46473,0.5212839591624885
27007,Minnesota,Beltrami County,2022,46687,0.4604824306586597
27007,Minnesota,Beltrami County,2023,46570,-0.25060509349498217
27007,Minnesota,Beltrami County,2024,46779,0.4487867726003847
27007,Minnesota,Beltrami County,2025,47055,0.5900083370743214
27009,Minnesota,Benton County,2011,38731,
27009,Minnesota,Benton County,2012,38671,-0.15491466783713603
27009,Minnesota,Benton County,2013,38975,0.7861187970313654
27009,Minnesota,Benton County,2014,39137,0.41565105837075844
