county_fips,county_name,year,fhfa_annual_change,fhfa_hpi,fhfa_hpi_1990base,fhfa_hpi_2000base,state_abbr
27001,Aitkin,2011,-5.28,160.99,,127.84,MN
27001,Aitkin,2012,-2.81,156.47,,124.26,MN
27001,Aitkin,2013,-2.21,153.01,,121.51,MN
27001,Aitkin,2014,.11,153.18,,121.64,MN
27001,Aitkin,2015,4.11,159.47,,126.64,MN
27001,Aitkin,2016,-1.3,157.4,,124.99,MN
27001,Aitkin,2017,5.17,165.54,,131.45,MN
27001,Aitkin,2018,3.23,170.88,,135.7,MN
27001,Aitkin,2019,5.67,180.58,,143.4,MN
27001,Aitkin,2020,3.24,186.42,,148.04,MN
27001,Aitkin,2021,11.52,207.89,,165.08,MN
27001,Aitkin,2022,20.19,249.87,,198.42,MN
27001,Aitkin,2023,9.4,273.37,,217.08,MN
27003,Anoka,2011,-8.18,396.18,169.93,106.07,MN
27003,Anoka,2012,-2.22,387.39,166.16,103.71,MN
27003,Anoka,2013,7.18,415.19,178.08,111.16,MN
27003,Anoka,2014,8.33,449.79,192.93,120.42,MN
27003,Anoka,2015,4.46,469.86,201.54,125.79,MN
27003,Anoka,2016,6.07,498.38,213.77,133.43,MN
27003,Anoka,2017,7.09,533.71,228.92,142.89,MN
27003,Anoka,2018,6.85,570.25,244.6,152.67,MN
27003,Anoka,2019,4.51,595.96,255.62,159.55,MN
27003,Anoka,2020,3.23,615.1900000000001,263.87,164.7,MN
27003,Anoka,2021,11.65,686.88,294.62,183.9,MN
27003,Anoka,2022,11.73,767.48,329.19,205.47,MN
27003,Anoka,2023,3.55,794.6900000000001,340.86,212.76,MN
27005,Becker,2011,-2.12,344.81,284,159.92,MN
27005,Becker,2012,-.38,343.51,282.93,159.31,MN
27005,Becker,2013,.87,346.51,285.4,160.71,MN
27005,Becker,2014,4.46,361.97,298.13,167.88,MN
27005,Becker,2015,3.16,373.41,307.56,173.18,MN
27005,Becker,2016,4.11,388.74,320.18,180.29,MN
27005,Becker,2017,5.14,408.72,336.64,189.56,MN
27005,Becker,2018,4.38,426.61,351.37,197.86,MN
27005,Becker,2019,5.2,448.79,369.65,208.15,MN
27005,Becker,2020,.63,451.6,371.96,209.45,MN
27005,Becker,2021,8.140000000000001,488.35,402.23,226.49,MN
27005,Becker,2022,15.06,561.88,462.79,260.59,MN
27005,Becker,2023,3.54,581.75,479.16,269.81,MN
27007,Beltrami,2011,.45,260.68,255.58,148.6,MN
27007,Beltrami,2012,-.92,258.28,253.22,147.23,MN
27007,Beltrami,2013,.92,260.64,255.54,148.58,MN
27007,Beltrami,2014,.65,262.34,257.21,149.55,MN
27007,Beltrami,2015,.96,264.87,259.68,150.99,MN
27007,Beltrami,2016,2.86,272.43,267.1,155.3,MN
27007,Beltrami,2017,2.19,278.41,272.96,158.71,MN
27007,Beltrami,2018,4.23,290.18,284.5,165.42,MN
27007,Beltrami,2019,5.83,307.1,301.09,175.06,MN
27007,Beltrami,2020,1.8,312.62,306.5,178.21,MN
27007,Beltrami,2021,10.27,344.71,337.96,196.5,MN
27007,Beltrami,2022,15.96,399.73,391.91,227.87,MN
27007,Beltrami,2023,4.42,417.38,409.22,237.93,MN
27009,Benton,2011,-4.57,204.98,194.08,118.22,MN
27009,Benton,2012,-1.41,202.08,191.34,116.55,MN
27009,Benton,2013,1.35,204.81,193.92,118.12,MN
27009,Benton,2014,3.74,212.48,201.18,122.54,MN
27009,Benton,2015,3.23,219.33,207.67,126.5,MN
27009,Benton,2016,4.22,228.58,216.43,131.83,MN
27009,Benton,2017,6.47,243.38,230.44,140.36,MN
27009,Benton,2018,5.97,257.9,244.19,148.74,MN
27009,Benton,2019,2.73,264.93,250.84,152.79,MN
27009,Benton,2020,3.56,274.37,259.78,158.24,MN
27009,Benton,2021,9.93,301.61,285.57,173.94,MN
27009,Benton,2022,14.11,344.17,325.87,198.49,MN
27009,Benton,2023,6.32,365.92,346.47,211.04,MN
27011,Big Stone,2011,2.88,138.29,,,MN
27011,Big Stone,2012,-1.99,135.54,,,MN
27011,Big Stone,2013,-.34,135.08,,,MN
27011,Big Stone,2014,11.31,150.36,,,MN
27011,Big Stone,2015,-6.66,140.34,,,MN
27011,Big Stone,2016,4.11,146.11,,,MN
27011,Big Stone,2017,4.93,153.32,,,MN
27011,Big Stone,2018,8.19,165.88,,,MN
27011,Big Stone,2019,2,169.21,,,MN
27011,Big Stone,2020,.57,170.17,,,MN
27011,Big Stone,2021,10.23,187.58,,,MN
27011,Big Stone,2022,16.57,218.66,,,MN
27011,Big Stone,2023,13.32,247.79,,,MN
27013,Blue Earth,2011,-3.6,324.74,199.47,120.86,MN
27013,Blue Earth,2012,1.16,328.52,201.79,122.26,MN
27013,Blue Earth,2013,1.37,333.01,204.55,123.94,MN
27013,Blue Earth,2014,3.26,343.88,211.23,127.98,MN
27013,Blue Earth,2015,2.25,351.63,215.99,130.86,MN
27013,Blue Earth,2016,3.83,365.09,224.26,135.87,MN
27013,Blue Earth,2017,5.59,385.5,236.8,143.47,MN
27013,Blue Earth,2018,5.9,408.24,250.76,151.93,MN
27013,Blue Earth,2019,2.67,419.16,257.47,156,MN
27013,Blue Earth,2020,1.98,427.46,262.57,159.09,MN
27013,Blue Earth,2021,8.539999999999999,463.97,285,172.67,MN
27013,Blue Earth,2022,12.33,521.1900000000001,320.14,193.97,MN
27013,Blue Earth,2023,6.83,556.77,342,207.21,MN
27015,Brown,2011,-2.98,305.44,196.87,120.15,MN
27015,Brown,2012,.8,307.89,198.45,121.12,MN
27015,Brown,2013,1.88,313.68,202.19,123.4,MN
27015,Brown,2014,-.38,312.47,201.41,122.92,MN
27015,Brown,2015,3.82,324.41,209.1,127.62,MN
27015,Brown,2016,2.07,331.11,213.42,130.25,MN
27015,Brown,2017,4.94,347.46,223.96,136.69,MN
27015,Brown,2018,3.03,357.99,230.75,140.83,MN
27015,Brown,2019,5.02,375.97,242.34,147.9,MN
27015,Brown,2020,1.11,380.13,245.02,149.54,MN
27015,Brown,2021,8.449999999999999,412.25,265.72,162.18,MN
27015,Brown,2022,11.29,458.79,295.72,180.48,MN
27015,Brown,2023,5.66,484.77,312.47,190.7,MN
27017,Carlton,2011,-1.99,301.15,246.9,140.92,MN
27017,Carlton,2012,-3.43,290.82,238.42,136.08,MN
27017,Carlton,2013,.99,293.69,240.78,137.42,MN
27017,Carlton,2014,1.7,298.66,244.86,139.75,MN
27017,Carlton,2015,4.43,311.9,255.71,145.94,MN
27017,Carlton,2016,2.34,319.21,261.7,149.37,MN
27017,Carlton,2017,2.93,328.55,269.36,153.74,MN
27017,Carlton,2018,6.84,351.02,287.79,164.25,MN
27017,Carlton,2019,4.45,366.65,300.6,171.57,MN
27017,Carlton,2020,2.97,377.56,309.54,176.67,MN
27017,Carlton,2021,11.26,420.06,344.39,196.56,MN
27017,Carlton,2022,14.35,480.36,393.82,224.77,MN
27017,Carlton,2023,13.03,542.9400000000001,445.13,254.05,MN
27019,Carver,2011,-6.69,388.16,188.92,115.46,MN
27019,Carver,2012,-.6,385.84,187.79,114.77,MN
27019,Carver,2013,4.22,402.12,195.71,119.61,MN
27019,Carver,2014,6.01,426.27,207.46,126.79,MN
27019,Carver,2015,3.71,442.1,215.17,131.5,MN
27019,Carver,2016,4.06,460.07,223.91,136.85,MN
27019,Carver,2017,5.48,485.3,236.19,144.35,MN
27019,Carver,2018,5.17,510.38,248.4,151.81,MN
27019,Carver,2019,3.15,526.4400000000001,256.22,156.59,MN
27019,Carver,2020,2.27,538.38,262.03,160.14,MN
27019,Carver,2021,9.470000000000001,589.39,286.85,175.32,MN
27019,Carver,2022,12.9,665.4400000000001,323.87,197.94,MN
27019,Carver,2023,3.43,688.28,334.99,204.73,MN
27021,Cass,2011,-4.59,154.84,,137.15,MN
27021,Cass,2012,-1.55,152.45,,135.03,MN
27021,Cass,2013,-1.77,149.75,,132.64,MN
27021,Cass,2014,.74,150.85,,133.62,MN
27021,Cass,2015,3.52,156.16,,138.32,MN
