county_fips,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,year,net_migration_returns,net_migration_exemptions
27000,455252,821818,464432,837814,2012,-9180,-15996
27000,474314,857915,481980,869943,2013,-7666,-12028
27000,439070,785517,454124,812374,2014,-15054,-26857
27000,324146,555780,334530,570670,2015,-10384,-14890
27000,478277,848284,483263,851273,2016,-4986,-2989
27000,668409,1210223,659348,1181047,2017,9061,29176
27000,502148,879571,500120,868200,2018,2028,11371
27001,7631,15254,7193,14384,2012,438,870
27001,7302,14624,7141,14140,2013,161,484
27001,7293,14609,7110,14082,2014,183,527
27001,6898,13683,6859,13558,2015,39,125
27001,7486,14648,7254,14139,2016,232,509
27001,8277,16094,7705,14858,2017,572,1236
27001,7825,15066,7556,14519,2018,269,547
27001,7675,14704,7675,14567,2019,0,137
27001,8457,16456,7610,14684,2020,847,1772
27001,8622,16131,7794,14530,2021,828,1601
27001,8605,15852,8008,14827,2022,597,1025
27001,8627,15958,8742,15869,2023,-115,89
27003,167314,360027,166247,356993,2012,1067,3034
27003,170648,364009,169236,361371,2013,1412,2638
27003,169980,360960,170106,360538,2014,-126,422
27003,163552,345191,163890,343607,2015,-338,1584
27003,176932,370298,175937,365806,2016,995,4492
27003,194841,403993,189462,390819,2017,5379,13174
27003,184104,379768,180975,372794,2018,3129,6974
27003,184518,378720,184034,375506,2019,484,3214
27003,190051,399536,188504,393676,2020,1547,5860
27003,191273,380608,190398,378608,2021,875,2000
27003,193515,383270,194037,381484,2022,-522,1786
27003,199923,389878,198583,387022,2023,1340,2856
27005,15548,33687,15740,33380,2012,-192,307
27005,15662,33961,15871,33680,2013,-209,281
27005,15216,32702,15631,33153,2014,-415,-451
27005,14843,31795,14816,31304,2015,27,491
27005,15596,33312,15383,32518,2016,213,794
27005,17315,36799,16130,33909,2017,1185,2890
27005,16101,34258,15891,33328,2018,210,930
27005,16276,34094,16182,34164,2019,94,-70
27005,16514,36392,16349,35866,2020,165,526
27005,16693,33885,16281,33144,2021,412,741
27005,16934,34069,16841,33850,2022,93,219
27005,17394,34849,17312,34308,2023,82,541
27007,18972,40999,20840,43912,2012,-1868,-2913
27007,19046,40515,19489,41437,2013,-443,-922
27007,18678,39832,19299,40925,2014,-621,-1093
27007,18222,38475,18569,39099,2015,-347,-624
27007,19377,40835,19673,40966,2016,-296,-131
