county_fips,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,year,net_migration_returns,net_migration_exemptions
27001,8627,15958,8742,15869,2023,-115,89
27003,199923,389878,198583,387022,2023,1340,2856
27005,17394,34849,17312,34308,2023,82,541
27007,21427,41786,21591,42058,2023,-164,-272
27009,22839,44342,23214,44934,2023,-375,-592
27011,2402,4727,2472,4842,2023,-70,-115
27013,35211,63510,36536,65639,2023,-1325,-2129
27015,13218,25302,13635,25674,2023,-417,-372
27017,17624,34300,17731,34054,2023,-107,246
27019,58064,123903,58000,121629,2023,64,2274
27021,16606,32316,16683,32102,2023,-77,214
27023,5826,11780,6190,12187,2023,-364,-407
27025,31206,61787,30937,60594,2023,269,1193
27027,32600,65252,32323,64975,2023,277,277
27029,3989,8323,4061,8254,2023,-72,69
27031,3456,5765,3527,5894,2023,-71,-129
27033,5989,11900,6036,11799,2023,-47,101
27035,35905,68443,35282,66588,2023,623,1855
27037,244457,475979,241586,469737,2023,2871,6242
27039,10946,22431,11247,22862,2023,-301,-431
27041,21246,41153,21220,40891,2023,26,262
27043,6980,13722,7094,13600,2023,-114,122
27045,10491,21238,10728,21429,2023,-237,-191
27047,15126,29438,15344,29544,2023,-218,-106
27049,25583,48983,25678,48835,2023,-95,148
27051,3077,6163,3228,6391,2023,-151,-228
27053,680323,1220344,688998,1251110,2023,-8675,-30766
27055,9974,19321,10143,19355,2023,-169,-34
27057,11518,22630,11151,22015,2023,367,615
27059,23365,45468,23152,44587,2023,213,881
27061,21892,42888,21725,41872,2023,167,1016
27063,5203,10301,5206,10153,2023,-3,148
27065,8213,16013,8463,16190,2023,-250,-177
27067,21640,43308,22474,44708,2023,-834,-1400
27069,1894,3784,2049,3990,2023,-155,-206
27071,5517,10259,5778,10769,2023,-261,-510
27073,3309,6807,3428,6824,2023,-119,-17
27075,5611,10481,5859,10864,2023,-248,-383
27077,1920,3601,2191,3971,2023,-271,-370
27079,15730,31496,16061,31628,2023,-331,-132
27081,2664,5474,2800,5619,2023,-136,-145
27083,12116,24786,12848,25608,2023,-732,-822
27085,19785,37997,19813,38038,2023,-28,-41
27087,2105,4409,2311,4810,2023,-206,-401
27089,4382,8854,4445,8859,2023,-63,-5
27091,9908,19281,10316,19907,2023,-408,-626
27093,11849,24163,12209,24422,2023,-360,-259
27095,13918,27015,13855,26822,2023,63,193
27097,16952,33957,17225,34038,2023,-273,-81
27099,19486,39422,20233,40373,2023,-747,-951
27101,4202,8394,4191,8255,2023,11,139
27103,18357,35157,18696,35568,2023,-339,-411
27105,9917,20839,10745,22318,2023,-828,-1479
27107,3068,6053,3095,6099,2023,-27,-46
27109,89852,170797,90459,173672,2023,-607,-2875
27111,30558,61030,31301,61126,2023,-743,-96
27113,7261,13512,7336,13891,2023,-75,-379
27115,14737,28350,14445,27190,2023,292,1160
27117,4390,8995,4490,9291,2023,-100,-296
27119,14516,29700,15201,30537,2023,-685,-837
27121,6126,12115,6005,11734,2023,121,381
27123,296091,533329,301869,550839,2023,-5778,-17510
27125,1861,3789,2004,3963,2023,-143,-174
27127,7560,15151,7719,15406,2023,-159,-255
27129,7433,14696,7758,15218,2023,-325,-522
27131,32157,62949,33273,63867,2023,-1116,-918
27133,4623,9611,4645,9713,2023,-22,-102
27135,7571,15253,8015,16010,2023,-444,-757
27137,99158,179038,98895,178922,2023,263,116
27139,81226,167934,82165,168197,2023,-939,-263
27141,52899,108995,53617,108707,2023,-718,288
27143,7894,15745,8100,15621,2023,-206,124
27145,82247,161298,83910,163354,2023,-1663,-2056
27147,19617,38988,19794,38786,2023,-177,202
27149,4962,10774,4961,10602,2023,1,172
27151,4533,9181,4641,9218,2023,-108,-37
27153,12501,25705,12526,25752,2023,-25,-47
27155,1594,3161,1746,3390,2023,-152,-229
27157,11371,22108,11620,22342,2023,-249,-234
27159,7141,14706,7286,14690,2023,-145,16
27161,9502,18426,9942,19003,2023,-440,-577
27163,152322,305956,150512,298129,2023,1810,7827
27165,4865,9760,5381,10724,2023,-516,-964
27167,3299,6507,3416,6680,2023,-117,-173
27169,23920,43777,24170,44190,2023,-250,-413
27171,77976,165800,75321,158109,2023,2655,7691
27173,4735,9485,4861,9700,2023,-126,-215
