county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,state_name_census,county_name_census,pop_total,npopchg,net_mig_census,pop_growth_rate,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions
27001,MN-001,Aitkin County,2020,40.46666666666667,385.57,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,Minnesota,Aitkin County,15708,19,45,,,,,,,
27001,MN-001,Aitkin County,2021,42.1,302.25,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,Minnesota,Aitkin County,15954,246,425,1.566080977845674,,,,,,
27001,MN-001,Aitkin County,2022,39.916666666666664,348.03,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,Minnesota,Aitkin County,16148,194,307,1.2159959884668448,,,,,,
27001,MN-001,Aitkin County,2023,40.95,336.5,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,Minnesota,Aitkin County,16131,-17,89,-0.105276195194448,8627.0,15958.0,8742.0,15869.0,-115.0,89.0
27003,MN-003,Anoka County,2020,44.50833333333333,377.54,Minnesota,MN,27,Anoka,3,27003,74523017.00977126,88.00890585241731,Relatively Moderate,127477801.64503628,92.82178217821784,Relatively Moderate,10.62340967,Very Low,97.07379134860052,Very High,22810.793844083775,29.03944020356234,Very Low,49932540.94041248,91.98473282442748,Relatively Moderate,497256.5300816817,81.64758269720103,Relatively Low,2316322.1955263065,86.09505459216442,Relatively Moderate,270585.6301664154,84.11839592616168,Relatively Moderate,December 2025,Minnesota,Anoka County,364474,589,111,,,,,,,
27003,MN-003,Anoka County,2021,45.833333333333336,265.94,Minnesota,MN,27,Anoka,3,27003,74523017.00977126,88.00890585241731,Relatively Moderate,127477801.64503628,92.82178217821784,Relatively Moderate,10.62340967,Very Low,97.07379134860052,Very High,22810.793844083775,29.03944020356234,Very Low,49932540.94041248,91.98473282442748,Relatively Moderate,497256.5300816817,81.64758269720103,Relatively Low,2316322.1955263065,86.09505459216442,Relatively Moderate,270585.6301664154,84.11839592616168,Relatively Moderate,December 2025,Minnesota,Anoka County,367557,3083,1440,0.8458765234282906,,,,,,
27003,MN-003,Anoka County,2022,44.525,281.13,Minnesota,MN,27,Anoka,3,27003,74523017.00977126,88.00890585241731,Relatively Moderate,127477801.64503628,92.82178217821784,Relatively Moderate,10.62340967,Very Low,97.07379134860052,Very High,22810.793844083775,29.03944020356234,Very Low,49932540.94041248,91.98473282442748,Relatively Moderate,497256.5300816817,81.64758269720103,Relatively Low,2316322.1955263065,86.09505459216442,Relatively Moderate,270585.6301664154,84.11839592616168,Relatively Moderate,December 2025,Minnesota,Anoka County,369468,1911,798,0.5199193594462859,,,,,,
27003,MN-003,Anoka County,2023,45.2,316.81,Minnesota,MN,27,Anoka,3,27003,74523017.00977126,88.00890585241731,Relatively Moderate,127477801.64503628,92.82178217821784,Relatively Moderate,10.62340967,Very Low,97.07379134860052,Very High,22810.793844083775,29.03944020356234,Very Low,49932540.94041248,91.98473282442748,Relatively Moderate,497256.5300816817,81.64758269720103,Relatively Low,2316322.1955263065,86.09505459216442,Relatively Moderate,270585.6301664154,84.11839592616168,Relatively Moderate,December 2025,Minnesota,Anoka County,373182,3714,2386,1.005229140277364,199923.0,389878.0,198583.0,387022.0,1340.0,2856.0
27005,MN-005,Becker County,2020,39.425,334.97,Minnesota,MN,27,Becker,5,27005,12251827.108760564,37.404580152671755,Very Low,11742172.484490383,41.367574257425744,Very Low,40.42620865,Relatively Moderate,85.05089058524173,Very High,135545.53437828043,48.44147582697201,Relatively Low,7340445.551278276,52.2264631043257,Relatively Low,327083.1973628905,77.16284987277355,Relatively Low,111911.57601598148,26.332691072575464,Very Low,408241.9030053694,89.46530872056016,Relatively High,December 2025,Minnesota,Becker County,35184,19,-5,,,,,,,
27005,MN-005,Becker County,2021,41.975,230.32,Minnesota,MN,27,Becker,5,27005,12251827.108760564,37.404580152671755,Very Low,11742172.484490383,41.367574257425744,Very Low,40.42620865,Relatively Moderate,85.05089058524173,Very High,135545.53437828043,48.44147582697201,Relatively Low,7340445.551278276,52.2264631043257,Relatively Low,327083.1973628905,77.16284987277355,Relatively Low,111911.57601598148,26.332691072575464,Very Low,408241.9030053694,89.46530872056016,Relatively High,December 2025,Minnesota,Becker County,35322,138,185,0.392223738062758,,,,,,
