county_fips,county_name,year,qwi_emp_total_private,qwi_hires_total_private,qwi_separations_total_private,qwi_earns_total_private,qwi_job_gains_total_private,qwi_job_losses_total_private,qwi_emp_flag_issue_total_private,qwi_hires_flag_issue_total_private,qwi_sep_flag_issue_total_private,qwi_earns_flag_issue_total_private,qwi_job_gains_flag_issue_total_private,qwi_job_losses_flag_issue_total_private,qwi_quarters_observed_total_private,qwi_incomplete_year_total_private,qwi_emp_agriculture,qwi_hires_agriculture,qwi_separations_agriculture,qwi_earns_agriculture,qwi_job_gains_agriculture,qwi_job_losses_agriculture,qwi_emp_flag_issue_agriculture,qwi_hires_flag_issue_agriculture,qwi_sep_flag_issue_agriculture,qwi_earns_flag_issue_agriculture,qwi_job_gains_flag_issue_agriculture,qwi_job_losses_flag_issue_agriculture,qwi_quarters_observed_agriculture,qwi_incomplete_year_agriculture,qwi_emp_construction,qwi_hires_construction,qwi_separations_construction,qwi_earns_construction,qwi_job_gains_construction,qwi_job_losses_construction,qwi_emp_flag_issue_construction,qwi_hires_flag_issue_construction,qwi_sep_flag_issue_construction,qwi_earns_flag_issue_construction,qwi_job_gains_flag_issue_construction,qwi_job_losses_flag_issue_construction,qwi_quarters_observed_construction,qwi_incomplete_year_construction,qwi_emp_manufacturing,qwi_hires_manufacturing,qwi_separations_manufacturing,qwi_earns_manufacturing,qwi_job_gains_manufacturing,qwi_job_losses_manufacturing,qwi_emp_flag_issue_manufacturing,qwi_hires_flag_issue_manufacturing,qwi_sep_flag_issue_manufacturing,qwi_earns_flag_issue_manufacturing,qwi_job_gains_flag_issue_manufacturing,qwi_job_losses_flag_issue_manufacturing,qwi_quarters_observed_manufacturing,qwi_incomplete_year_manufacturing,qwi_emp_retail,qwi_hires_retail,qwi_separations_retail,qwi_earns_retail,qwi_job_gains_retail,qwi_job_losses_retail,qwi_emp_flag_issue_retail,qwi_hires_flag_issue_retail,qwi_sep_flag_issue_retail,qwi_earns_flag_issue_retail,qwi_job_gains_flag_issue_retail,qwi_job_losses_flag_issue_retail,qwi_quarters_observed_retail,qwi_incomplete_year_retail,qwi_emp_transport_warehousing,qwi_hires_transport_warehousing,qwi_separations_transport_warehousing,qwi_earns_transport_warehousing,qwi_job_gains_transport_warehousing,qwi_job_losses_transport_warehousing,qwi_emp_flag_issue_transport_warehousing,qwi_hires_flag_issue_transport_warehousing,qwi_sep_flag_issue_transport_warehousing,qwi_earns_flag_issue_transport_warehousing,qwi_job_gains_flag_issue_transport_warehousing,qwi_job_losses_flag_issue_transport_warehousing,qwi_quarters_observed_transport_warehousing,qwi_incomplete_year_transport_warehousing,qwi_emp_health_social,qwi_hires_health_social,qwi_separations_health_social,qwi_earns_health_social,qwi_job_gains_health_social,qwi_job_losses_health_social,qwi_emp_flag_issue_health_social,qwi_hires_flag_issue_health_social,qwi_sep_flag_issue_health_social,qwi_earns_flag_issue_health_social,qwi_job_gains_flag_issue_health_social,qwi_job_losses_flag_issue_health_social,qwi_quarters_observed_health_social,qwi_incomplete_year_health_social,qwi_emp_accom_food,qwi_hires_accom_food,qwi_separations_accom_food,qwi_earns_accom_food,qwi_job_gains_accom_food,qwi_job_losses_accom_food,qwi_emp_flag_issue_accom_food,qwi_hires_flag_issue_accom_food,qwi_sep_flag_issue_accom_food,qwi_earns_flag_issue_accom_food,qwi_job_gains_flag_issue_accom_food,qwi_job_losses_flag_issue_accom_food,qwi_quarters_observed_accom_food,qwi_incomplete_year_accom_food
27001,Aitkin,2011,2974.5,1900.0,2091.0,2280.5,781.0,971.0,0,0,0,0,0,0,4,0,34.25,71.0,75.0,1763.5,45.0,49.0,0,0,0,0,0,0,4,0,114.25,132.0,143.0,2417.5,79.0,89.0,0,0,0,0,0,0,4,0,334.5,153.0,161.0,2828.25,61.0,69.0,0,0,0,0,0,0,4,0,599.75,297.0,310.0,1639.25,100.0,113.0,0,0,0,0,0,0,4,0,77.75,85.0,57.0,2458.75,32.0,5.0,0,0,0,0,0,0,4,0,643.25,237.0,216.0,2919.0,62.0,43.0,0,0,0,0,0,0,4,0,490.0,544.0,564.0,886.0,215.0,236.0,0,0,0,0,0,0,4,0
27001,Aitkin,2012,2865.0,2021.0,1989.0,2328.5,918.0,887.0,0,0,0,0,0,0,4,0,30.5,44.0,54.0,1377.25,34.0,40.0,0,1,0,0,0,0,4,0,114.75,138.0,129.0,2592.5,103.0,95.0,0,0,0,0,0,0,4,0,305.0,114.0,125.0,3013.25,50.0,63.0,0,0,0,0,0,0,4,0,599.75,373.0,372.0,1643.75,158.0,158.0,0,0,0,0,0,0,4,0,94.5,67.0,72.0,2436.75,15.0,23.0,0,0,0,0,0,0,4,0,641.5,340.0,312.0,3162.75,89.0,63.0,0,0,0,0,0,0,4,0,486.5,507.0,516.0,916.25,200.0,208.0,0,0,0,0,0,0,4,0
27001,Aitkin,2013,2929.0,2104.0,2006.0,2403.25,850.0,753.0,0,0,0,0,0,0,4,0,14.5,24.0,25.0,1028.25,16.0,17.0,0,1,1,0,0,0,4,0,128.5,155.0,148.0,2437.25,101.0,95.0,0,0,0,0,0,0,4,0,339.75,182.0,143.0,3169.5,76.0,37.0,0,0,0,0,0,0,4,0,578.75,380.0,386.0,1648.75,110.0,117.0,0,0,0,0,0,0,4,0,86.5,75.0,75.0,2517.25,23.0,25.0,0,0,0,0,0,0,4,0,686.25,301.0,244.0,3151.75,85.0,28.0,0,0,0,0,0,0,4,0,485.25,578.0,562.0,963.0,255.0,240.0,0,0,0,0,0,0,4,0
27001,Aitkin,2014,2996.75,1982.0,2013.0,2473.5,797.0,827.0,0,0,0,0,0,0,4,0,16.25,23.0,23.0,1653.5,14.0,15.0,0,1,1,0,0,0,4,0,140.0,165.0,163.0,2811.75,110.0,109.0,0,0,0,0,0,0,4,0,354.75,126.0,120.0,3253.75,56.0,50.0,0,0,0,0,0,0,4,0,572.5,366.0,359.0,1655.25,140.0,133.0,0,0,0,0,0,0,4,0,93.75,67.0,69.0,2714.5,16.0,18.0,0,0,0,0,0,0,4,0,740.25,282.0,312.0,3133.75,46.0,75.0,0,0,0,0,0,0,4,0,480.5,542.0,546.0,947.0,223.0,226.0,0,0,0,0,0,0,4,0
27001,Aitkin,2015,3000.0,2063.0,1928.0,2605.75,839.0,702.0,0,0,0,0,0,0,4,0,19.0,38.0,28.0,1922.0,24.0,14.0,0,0,0,0,0,0,4,0,145.5,192.0,158.0,2956.25,128.0,94.0,0,0,0,0,0,0,4,0,367.25,128.0,114.0,3406.75,56.0,41.0,0,0,0,0,0,0,4,0,568.25,412.0,407.0,1713.0,152.0,146.0,0,0,0,0,0,0,4,0,91.0,74.0,64.0,3056.5,29.0,18.0,0,0,0,0,0,0,4,0,717.25,259.0,272.0,3381.75,33.0,45.0,0,0,0,0,0,0,4,0,500.5,522.0,489.0,992.0,184.0,151.0,0,0,0,0,0,0,4,0
27001,Aitkin,2016,3072.25,2040.0,1913.0,2676.25,755.0,630.0,0,0,0,0,0,0,4,0,27.25,43.0,42.0,2534.0,29.0,28.0,0,0,0,0,0,0,4,0,172.0,166.0,122.0,2860.25,113.0,68.0,0,0,0,0,0,0,4,0,392.5,166.0,120.0,3476.0,84.0,38.0,0,0,0,0,0,0,4,0,564.75,388.0,377.0,1806.25,115.0,104.0,0,0,0,0,0,0,4,0,97.25,94.0,86.0,3343.0,22.0,14.0,0,0,0,0,0,0,4,0,718.0,335.0,300.0,3440.5,71.0,34.0,0,0,0,0,0,0,4,0,502.5,470.0,475.0,1086.0,147.0,151.0,0,0,0,0,0,0,4,0
27001,Aitkin,2017,3198.5,2120.0,2129.0,2780.0,765.0,774.0,0,0,0,0,0,0,4,0,26.75,46.0,50.0,2691.25,25.0,29.0,0,0,0,0,0,0,4,0,200.75,120.0,176.0,3041.25,71.0,126.0,0,0,0,0,0,0,4,0,382.75,192.0,152.0,3454.0,99.0,56.0,0,0,0,0,0,0,4,0,566.0,330.0,341.0,1894.5,93.0,106.0,0,0,0,0,0,0,4,0,104.5,92.0,75.0,3321.25,28.0,12.0,0,0,0,0,0,0,4,0,758.0,375.0,352.0,3416.5,66.0,43.0,0,0,0,0,0,0,4,0,509.75,526.0,562.0,1100.75,190.0,225.0,0,0,0,0,0,0,4,0
27001,Aitkin,2018,3290.25,2271.0,2187.0,2909.5,888.0,804.0,0,0,0,0,0,0,4,0,23.5,43.0,44.0,3071.25,30.0,32.0,0,0,0,0,0,0,4,0,176.25,194.0,174.0,3200.75,126.0,107.0,0,0,0,0,0,0,4,0,422.0,163.0,174.0,3434.0,68.0,79.0,0,0,0,0,0,0,4,0,558.25,371.0,357.0,1990.5,127.0,113.0,0,0,0,0,0,0,4,0,117.25,83.0,87.0,3461.0,18.0,23.0,0,0,0,0,0,0,4,0,812.75,442.0,433.0,3450.75,113.0,103.0,0,0,0,0,0,0,4,0,470.0,500.0,459.0,1124.25,184.0,141.0,0,0,0,0,0,0,4,0
27001,Aitkin,2019,3430.0,2417.0,2342.0,2993.75,959.0,883.0,0,0,0,0,0,0,4,0,21.5,43.0,45.0,3713.5,25.0,24.0,0,1,0,0,0,0,4,0,188.5,200.0,186.0,3366.25,118.0,104.0,0,0,0,0,0,0,4,0,396.5,137.0,157.0,3359.0,56.0,76.0,0,0,0,0,0,0,4,0,591.25,440.0,460.0,2094.75,130.0,149.0,0,0,0,0,0,0,4,0,119.25,78.0,78.0,3297.75,27.0,26.0,0,0,0,0,0,0,4,0,816.25,368.0,335.0,3659.75,86.0,55.0,0,0,0,0,0,0,4,0,539.5,690.0,605.0,1130.75,296.0,211.0,0,0,0,0,0,0,4,0
27001,Aitkin,2020,3267.25,2343.0,2443.0,3383.75,879.0,980.0,0,0,0,0,0,0,4,0,23.25,50.0,47.0,3509.5,29.0,26.0,0,0,0,0,0,0,4,0,190.25,169.0,165.0,3592.25,113.0,110.0,0,0,0,0,0,0,4,0,347.0,126.0,143.0,3879.25,41.0,56.0,0,0,0,0,0,0,4,0,559.0,475.0,442.0,2400.25,175.0,144.0,0,0,0,0,0,0,4,0,111.25,57.0,59.0,3478.5,17.0,17.0,0,0,0,0,0,0,4,0,844.25,434.0,418.0,4111.0,91.0,73.0,0,0,0,0,0,0,4,0,491.25,579.0,674.0,1086.0,188.0,283.0,0,0,0,0,0,0,4,0
