county_fips,county_name,year,quarter,tract_standard,tract_rows,usps_total_addr,usps_vacant_addr,usps_nostat_addr,usps_res_addr,usps_res_vacant_addr,usps_res_nostat_addr,usps_vacancy_rate,usps_nostat_rate,usps_res_vacancy_rate,usps_res_nostat_rate
27001,Aitkin,2011,4,2010,5,10568,1215,759,9946,1164,711,0.11496972,0.07182059,0.11703197,0.07148602
27001,Aitkin,2012,4,2010,6,10613,1265,735,9999,1213,690,0.11919344,0.06925469,0.12131213,0.06900690
27001,Aitkin,2013,4,2010,6,10619,1375,639,10003,1324,594,0.12948489,0.06017516,0.13236029,0.05938219
27001,Aitkin,2014,4,2010,6,10764,1430,663,10151,1378,618,0.13285024,0.06159420,0.13575017,0.06088070
27001,Aitkin,2015,4,2010,6,11122,1619,677,10498,1567,631,0.14556734,0.06087035,0.14926653,0.06010669
27001,Aitkin,2016,4,2010,6,11197,1715,716,10572,1645,672,0.15316603,0.06394570,0.15559970,0.06356413
27001,Aitkin,2017,4,2010,6,11391,1598,945,10766,1520,904,0.14028619,0.08296023,0.14118521,0.08396805
27001,Aitkin,2018,4,2010,6,11562,1779,944,10932,1697,901,0.15386611,0.08164677,0.15523235,0.08241859
27001,Aitkin,2019,4,2010,6,11808,1718,1176,11171,1634,1126,0.14549458,0.09959350,0.14627160,0.10079671
27001,Aitkin,2020,4,2010,6,11954,1658,1237,11291,1576,1186,0.13869834,0.10348001,0.13958020,0.10503941
27001,Aitkin,2021,4,2010,6,12030,681,2036,11376,628,1960,0.05660848,0.16924356,0.05520394,0.17229255
27001,Aitkin,2022,4,2010,6,12093,308,2406,11440,257,2329,0.02546928,0.19895807,0.02246503,0.20358392
27001,Aitkin,2023,4,2020,8,12319,162,2628,11661,119,2547,0.01315042,0.21332900,0.01020496,0.21842038
27003,Anoka,2011,4,2010,79,142913,4296,4257,130787,3119,3222,0.03006025,0.02978735,0.02384794,0.02463548
27003,Anoka,2012,4,2010,83,144612,4242,5118,132024,3000,3665,0.02933367,0.03539125,0.02272314,0.02776010
27003,Anoka,2013,4,2010,83,145356,3926,4639,132752,2710,3276,0.02700955,0.03191475,0.02041401,0.02467759
27003,Anoka,2014,4,2010,83,146453,4043,4474,133777,2746,3149,0.02760613,0.03054905,0.02052670,0.02353917
