county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,county_name_census,pop_total,pop_growth_rate,state_name_fema,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions,series_id,unemp_rate,series_title,qcew_estabs,qcew_employment,qcew_total_wages,qcew_avg_wkly_wage,ln_emp,ln_wage,ln_total_wages,emp_growth,wage_growth,bps_total_bldgs,bps_total_bldgs_rep,bps_total_units,bps_total_units_rep,bps_total_value,bps_total_value_rep,bps_bldgs_1_unit,bps_bldgs_1_unit_rep,bps_bldgs_2_units,bps_bldgs_2_units_rep,bps_bldgs_3_4_units,bps_bldgs_3_4_units_rep,bps_bldgs_5_units,bps_bldgs_5_units_rep,bps_units_1_unit,bps_units_1_unit_rep,bps_units_2_units,bps_units_2_units_rep,bps_units_3_4_units,bps_units_3_4_units_rep,bps_units_5_units,bps_units_5_units_rep,bps_value_1_unit,bps_value_1_unit_rep,bps_value_2_units,bps_value_2_units_rep,bps_value_3_4_units,bps_value_3_4_units_rep,bps_value_5_units,bps_value_5_units_rep,cbp_const_emp,cbp_const_q1_payroll,cbp_const_annual_payroll,cbp_const_establishments,bea_personal_income,bea_population,bea_pc_income,bea_real_gdp,bea_nominal_gdp,bea_real_gdp_construction,fhfa_annual_change,fhfa_hpi,fhfa_hpi_1990base,fhfa_hpi_2000base,usps_total_addr,usps_vacant_addr,usps_nostat_addr,usps_res_addr,usps_res_vacant_addr,usps_res_nostat_addr,usps_vacancy_rate,usps_nostat_rate,usps_res_vacancy_rate,usps_res_nostat_rate,qwi_emp_total_private,qwi_hires_total_private,qwi_separations_total_private,qwi_earns_total_private,qwi_job_gains_total_private,qwi_job_losses_total_private,qwi_eflag_tp,qwi_hflag_tp,qwi_sflag_tp,qwi_wflag_tp,qwi_jgflag_tp,qwi_jlflag_tp,qwi_quarters_observed_total_priv,qwi_inc_tp,qwi_emp_agriculture,qwi_hires_agriculture,qwi_separations_agriculture,qwi_earns_agriculture,qwi_job_gains_agriculture,qwi_job_losses_agriculture,qwi_emp_flag_issue_agriculture,qwi_hires_flag_issue_agriculture,qwi_sep_flag_issue_agriculture,qwi_earns_flag_issue_agriculture,qwi_job_gains_flag_issue_agricul,qwi_job_losses_flag_issue_agricu,qwi_quarters_observed_agricultur,qwi_incomplete_year_agriculture,qwi_emp_construction,qwi_hires_construction,qwi_separations_construction,qwi_earns_construction,qwi_job_gains_construction,qwi_job_losses_construction,qwi_eflag_con,qwi_hflag_con,qwi_sflag_con,qwi_wflag_con,qwi_jgflag_con,qwi_jlflag_con,qwi_quarters_observed_constructi,qwi_inc_con,qwi_emp_manufacturing,qwi_hires_manufacturing,qwi_separations_manufacturing,qwi_earns_manufacturing,qwi_job_gains_manufacturing,qwi_job_losses_manufacturing,qwi_emp_flag_issue_manufacturing,qwi_hires_flag_issue_manufacturi,qwi_sep_flag_issue_manufacturing,qwi_earns_flag_issue_manufacturi,qwi_job_gains_flag_issue_manufac,qwi_job_losses_flag_issue_manufa,qwi_quarters_observed_manufactur,qwi_incomplete_year_manufacturin,qwi_emp_retail,qwi_hires_retail,qwi_separations_retail,qwi_earns_retail,qwi_job_gains_retail,qwi_job_losses_retail,qwi_emp_flag_issue_retail,qwi_hires_flag_issue_retail,qwi_sep_flag_issue_retail,qwi_earns_flag_issue_retail,qwi_job_gains_flag_issue_retail,qwi_job_losses_flag_issue_retail,qwi_quarters_observed_retail,qwi_incomplete_year_retail,qwi_emp_transport_warehousing,qwi_hires_transport_warehousing,qwi_separations_transport_wareho,qwi_earns_transport_warehousing,qwi_job_gains_transport_warehous,qwi_job_losses_transport_warehou,qwi_emp_flag_issue_transport_war,qwi_hires_flag_issue_transport_w,qwi_sep_flag_issue_transport_war,qwi_earns_flag_issue_transport_w,qwi_job_gains_flag_issue_transpo,qwi_job_losses_flag_issue_transp,qwi_quarters_observed_transport_,qwi_incomplete_year_transport_wa,qwi_emp_health_social,qwi_hires_health_social,qwi_separations_health_social,qwi_earns_health_social,qwi_job_gains_health_social,qwi_job_losses_health_social,qwi_emp_flag_issue_health_social,qwi_hires_flag_issue_health_soci,qwi_sep_flag_issue_health_social,qwi_earns_flag_issue_health_soci,qwi_job_gains_flag_issue_health_,qwi_job_losses_flag_issue_health,qwi_quarters_observed_health_soc,qwi_incomplete_year_health_socia,qwi_emp_accom_food,qwi_hires_accom_food,qwi_separations_accom_food,qwi_earns_accom_food,qwi_job_gains_accom_food,qwi_job_losses_accom_food,qwi_emp_flag_issue_accom_food,qwi_hires_flag_issue_accom_food,qwi_sep_flag_issue_accom_food,qwi_earns_flag_issue_accom_food,qwi_job_gains_flag_issue_accom_f,qwi_job_losses_flag_issue_accom_,qwi_quarters_observed_accom_food,qwi_incomplete_year_accom_food,nass_corn_planted_acres,nass_corn_grain_harv_acres,nass_corn_grain_yield_buac,nass_corn_silage_harv_acres,nass_corn_silage_yield_tonac,nass_soy_planted_acres,nass_soy_harv_acres,nass_soy_yield_buac,nass_swheat_planted_acres,nass_swheat_harv_acres,nass_swheat_yield_buac,nass_corn_grain_harv_acres_cv,nass_corn_grain_yield_buac_cv,nass_corn_planted_acres_cv,nass_corn_silage_harv_acres_cv,nass_corn_silage_yield_tonac_cv,nass_soy_harv_acres_cv,nass_soy_planted_acres_cv,nass_soy_yield_buac_cv,nass_swheat_harv_acres_cv,nass_swheat_planted_acres_cv,nass_swheat_yield_buac_cv,L1_precip,L1_temp,L2_precip,L2_temp,F1_precip,F1_temp,precip_ma3,temp_ma3,county_t,irs_net_mig_rate,irs_inflow_rate,irs_outflow_rate,flood_risk_std,ln_qcew_employment,ln_bps_total_units,ln_cbp_const_establishments,ln_bea_real_gdp,ln_bea_nominal_gdp,ln_bea_real_gdp_construction,ln_bea_personal_income,ln_bea_pc_income,ln_fhfa_hpi,ln_qwi_emp_total_private,ln_qwi_hires_total_private,ln_qwi_separations_total_private,ln_qwi_emp_construction,ln_qwi_hires_construction,ln_qwi_separations_construction,qwi_hire_rate_total_private,qwi_sep_rate_total_private,qwi_jc_rate_tp,qwi_jd_rate_tp,qwi_hire_rate_construction,qwi_sep_rate_construction,qwi_jc_rate_con,qwi_jd_rate_con,ln_nass_corn_yield,ln_nass_soy_yield,ln_nass_corn_planted,ln_nass_soy_planted,_est_a1,_est_a2,_est_a3,_est_a4,_est_a5,_est_a6
27001,MN-001,Aitkin County,2011,40.575001,372.87,Minnesota,Aitkin County,16170,,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,,,,,,,LAUCN270010000000003          ,9.699999999999999,"Unemployment Rate: Aitkin County, MN (U)",467,3714,108410406,561,8.2198648,6.329721,18.501434,,,123,123,123,123,20280995,20280995,123,123,0,0,0,0,0,0,123,123,0,0,0,0,0,0,20280995,20280995,0,0,0,0,0,0,0,642,4422,67,496117,16148,30723,457081,400184,16904,-5.28,160.99,,127.84,10568,1215,759,9946,1164,711,.11496972,.071820587,.11703197,.071486019,2974.5,1900,2091,2280.5,781,971,0,0,0,0,0,0,4,0,34.25,71,75,1763.5,45,49,0,0,0,0,0,0,4,0,114.25,132,143,2417.5,79,89,0,0,0,0,0,0,4,0,334.5,153,161,2828.25,61,69,0,0,0,0,0,0,4,0,599.75,297,310,1639.25,100,113,0,0,0,0,0,0,4,0,77.75,85,57,2458.75,32,5,0,0,0,0,0,0,4,0,643.25,237,216,2919,62,43,0,0,0,0,0,0,4,0,490,544,564,886,215,236,0,0,0,0,0,0,4,0,,,,180,11.5,6200,6200,30.8,,,,,,,,,,,,,,,,,,,389.07001,44.366665,,,0,,,,.83086014,8.2198648,4.8202815,4.2195077,13.032616,12.89968,9.7353058,13.114567,10.332767,5.0813422,7.9981675,7.5501351,7.6458759,4.7471037,4.8903489,4.9698133,63.876282,70.297531,26.256514,32.644142,115.5361,125.16412,69.146606,77.899345,,3.4275148,,8.7323046,0,0,0,1,0,0
27001,MN-001,Aitkin County,2012,44.366665,389.07001,Minnesota,Aitkin County,16036,-.82869512,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7631,15254,7193,14384,438,870,LAUCN270010000000003          ,8.199999999999999,"Unemployment Rate: Aitkin County, MN (U)",455,3669,110980672,582,8.207674,6.3664703,18.524866,-1.2116317,3.7433155,69,69,69,69,12051896,12051896,69,69,0,0,0,0,0,0,69,69,0,0,0,0,0,0,12051896,12051896,0,0,0,0,0,0,115,837,5340,65,497950,15998,31126,422468,378096,19933,-2.81,156.47,,124.26,10613,1265,735,9999,1213,690,.11919344,.069254689,.12131213,.069006898,2865,2021,1989,2328.5,918,887,0,0,0,0,0,0,4,0,30.5,44,54,1377.25,34,40,0,1,0,0,0,0,4,0,114.75,138,129,2592.5,103,95,0,0,0,0,0,0,4,0,305,114,125,3013.25,50,63,0,0,0,0,0,0,4,0,599.75,373,372,1643.75,158,158,0,0,0,0,0,0,4,0,94.5,67,72,2436.75,15,23,0,0,0,0,0,0,4,0,641.5,340,312,3162.75,89,63,0,0,0,0,0,0,4,0,486.5,507,516,916.25,200,208,0,0,0,0,0,0,4,0,,,,,,9100,8000,28.4,,,,,,,,,,,,,,,372.87,40.575001,,,359.57999,39.924999,,,1,54.25293,951.23474,896.98181,.83086014,8.207674,4.2484951,4.1896548,12.953869,12.842903,9.9001322,13.118255,10.345798,5.0528641,7.9606724,7.6118426,7.59589,4.7514329,4.934474,4.8675346,70.541016,69.424088,32.041885,30.95986,120.26144,112.4183,89.760345,82.788673,,3.3463891,,9.1160297,0,0,0,1,1,0
27001,MN-001,Aitkin County,2013,39.924999,359.57999,Minnesota,Aitkin County,15872,-1.0226989,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7302,14624,7141,14140,161,484,LAUCN270010000000003          ,7.5,"Unemployment Rate: Aitkin County, MN (U)",450,3682,112561301,588,8.2112112,6.3767271,18.539009,.35431999,1.0309278,97,97,97,97,17675727,17675727,97,97,0,0,0,0,0,0,97,97,0,0,0,0,0,0,17675727,17675727,0,0,0,0,0,0,130,828,5233,66,500895,15815,31672,416890,381804,19853,-2.21,153.01,,121.51,10619,1375,639,10003,1324,594,.12948489,.060175162,.13236029,.059382189,2929,2104,2006,2403.25,850,753,0,0,0,0,0,0,4,0,14.5,24,25,1028.25,16,17,0,1,1,0,0,0,4,0,128.5,155,148,2437.25,101,95,0,0,0,0,0,0,4,0,339.75,182,143,3169.5,76,37,0,0,0,0,0,0,4,0,578.75,380,386,1648.75,110,117,0,0,0,0,0,0,4,0,86.5,75,75,2517.25,23,25,0,0,0,0,0,0,4,0,686.25,301,244,3151.75,85,28,0,0,0,0,0,0,4,0,485.25,578,562,963,255,240,0,0,0,0,0,0,4,0,3000,2200,74.2,,,,,,,,,,,,,,,,,,,,389.07001,44.366665,372.87,40.575001,375.75,36.516666,373.84,41.622223,2,30.493952,921.37097,890.87701,.83086014,8.2112112,4.5849676,4.2046928,12.940578,12.852663,9.8961105,13.124152,10.363189,5.0305033,7.9827576,7.6520705,7.6043963,4.8636808,5.0498562,5.0039463,71.833389,68.487541,29.020144,25.708433,120.62257,115.17509,78.59922,73.929962,4.3067641,,8.0063677,,1,1,1,0,0,0
27001,MN-001,Aitkin County,2014,36.516666,375.75,Minnesota,Aitkin County,15849,-.14490928,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7293,14609,7110,14082,183,527,LAUCN270010000000003          ,6.8,"Unemployment Rate: Aitkin County, MN (U)",438,3732,117189985,604,8.2247,6.403574,18.579308,1.3579576,2.7210884,175,175,175,175,34080323,34080323,175,175,0,0,0,0,0,0,175,175,0,0,0,0,0,0,34080323,34080323,0,0,0,0,0,0,0,874,6169,59,534322,15776,33869,392998,368247,20559,.11,153.18,,121.64,10764,1430,663,10151,1378,618,.13285024,.061594199,.13575017,.060880698,2996.75,1982,2013,2473.5,797,827,0,0,0,0,0,0,4,0,16.25,23,23,1653.5,14,15,0,1,1,0,0,0,4,0,140,165,163,2811.75,110,109,0,0,0,0,0,0,4,0,354.75,126,120,3253.75,56,50,0,0,0,0,0,0,4,0,572.5,366,359,1655.25,140,133,0,0,0,0,0,0,4,0,93.75,67,69,2714.5,16,18,0,0,0,0,0,0,4,0,740.25,282,312,3133.75,46,75,0,0,0,0,0,0,4,0,480.5,542,546,947,223,226,0,0,0,0,0,0,4,0,2000,950,81.59999999999999,,,,,,,,,,,,,,,,,,,,359.57999,39.924999,389.07001,44.366665,337.32001,40.166668,374.79999,40.269444,3,33.251308,921.7616,888.51031,.83086014,8.2247,5.1704841,4.0943446,12.881559,12.816509,9.9310541,13.188754,10.430256,5.0316138,8.0056171,7.5923662,7.6078782,4.94876,5.1119876,5.0998664,66.138313,67.172768,26.595478,27.596563,117.85714,116.42857,78.571426,77.85714,4.4018292,,7.6009026,,1,1,1,0,0,0
27001,MN-001,Aitkin County,2015,40.166668,337.32001,Minnesota,Aitkin County,15852,.01892864,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,6898,13683,6859,13558,39,125,LAUCN270010000000003          ,6.7,"Unemployment Rate: Aitkin County, MN (U)",426,3770,124673022,636,8.2348299,6.4551988,18.641205,1.0182208,5.2980132,122,122,122,122,24580915,24580915,122,122,0,0,0,0,0,0,122,122,0,0,0,0,0,0,24580915,24580915,0,0,0,0,0,0,127,995,7101,65,552481,15763,35049,439042,421728,20799,4.11,159.47,,126.64,11122,1619,677,10498,1567,631,.14556734,.060870349,.14926653,.060106691,3000,2063,1928,2605.75,839,702,0,0,0,0,0,0,4,0,19,38,28,1922,24,14,0,0,0,0,0,0,4,0,145.5,192,158,2956.25,128,94,0,0,0,0,0,0,4,0,367.25,128,114,3406.75,56,41,0,0,0,0,0,0,4,0,568.25,412,407,1713,152,146,0,0,0,0,0,0,4,0,91,74,64,3056.5,29,18,0,0,0,0,0,0,4,0,717.25,259,272,3381.75,33,45,0,0,0,0,0,0,4,0,500.5,522,489,992,184,151,0,0,0,0,0,0,4,0,,,,,,6100,6000,32,,,,,,,,,,,,,,,375.75,36.516666,359.57999,39.924999,406.62,43.599998,357.54999,38.869446,4,7.8854403,863.17181,855.28638,.83086014,8.2348299,4.8121843,4.1896548,12.992351,12.952116,9.9426603,13.222175,10.464502,5.071856,8.0067005,7.632401,7.5647569,4.9870253,5.2626901,5.0689044,68.76667,64.26667,27.966667,23.4,131.95876,108.59106,87.972511,64.604813,,3.4657359,,8.7160444,0,0,0,1,1,1
27001,MN-001,Aitkin County,2016,43.599998,406.62,Minnesota,Aitkin County,15754,-.61821854,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7486,14648,7254,14139,232,509,LAUCN270010000000003          ,7.5,"Unemployment Rate: Aitkin County, MN (U)",428,3901,133165685,657,8.2689886,6.4876842,18.707104,3.4748011,3.3018868,155,155,155,155,32157494,32157494,155,155,0,0,0,0,0,0,155,155,0,0,0,0,0,0,32157494,32157494,0,0,0,0,0,0,134,1105,6994,61,568913,15642,36371,444131,435159,27418,-1.3,157.4,,124.99,11197,1715,716,10572,1645,672,.15316603,.063945703,.1555997,.063564129,3072.25,2040,1913,2676.25,755,630,0,0,0,0,0,0,4,0,27.25,43,42,2534,29,28,0,0,0,0,0,0,4,0,172,166,122,2860.25,113,68,0,0,0,0,0,0,4,0,392.5,166,120,3476,84,38,0,0,0,0,0,0,4,0,564.75,388,377,1806.25,115,104,0,0,0,0,0,0,4,0,97.25,94,86,3343,22,14,0,0,0,0,0,0,4,0,718,335,300,3440.5,71,34,0,0,0,0,0,0,4,0,502.5,470,475,1086,147,151,0,0,0,0,0,0,4,0,1400,650,113.5,650,16.5,,,,,,,,,,,,,,,,,,337.32001,40.166668,375.75,36.516666,411.01001,42.658333,373.23001,40.094444,5,32.309254,929.79559,897.48633,.83086014,8.2689886,5.0498562,4.1271343,13.003875,12.983467,10.218955,13.251483,10.501527,5.0587902,8.0304909,7.6211953,7.5569506,5.1532917,5.1179938,4.8121843,66.400848,62.267067,24.574823,20.506144,96.511627,70.930229,65.697678,39.534885,4.7318029,,7.2442274,,1,1,1,0,0,0
27001,MN-001,Aitkin County,2017,42.658333,411.01001,Minnesota,Aitkin County,15792,.24120858,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,8277,16094,7705,14858,572,1236,LAUCN270010000000003          ,6.6,"Unemployment Rate: Aitkin County, MN (U)",437,4054,141458036,671,8.3074589,6.508769,18.767513,3.9220712,2.130898,168,168,168,168,35385231,35385231,168,168,0,0,0,0,0,0,168,168,0,0,0,0,0,0,35385231,35385231,0,0,0,0,0,0,157,1301,7922,60,594427,15667,37941,450099,450099,26369,5.17,165.54,,131.45,11391,1598,945,10766,1520,904,.14028619,.082960233,.14118521,.083968051,3198.5,2120,2129,2780,765,774,0,0,0,0,0,0,4,0,26.75,46,50,2691.25,25,29,0,0,0,0,0,0,4,0,200.75,120,176,3041.25,71,126,0,0,0,0,0,0,4,0,382.75,192,152,3454,99,56,0,0,0,0,0,0,4,0,566,330,341,1894.5,93,106,0,0,0,0,0,0,4,0,104.5,92,75,3321.25,28,12,0,0,0,0,0,0,4,0,758,375,352,3416.5,66,43,0,0,0,0,0,0,4,0,509.75,526,562,1100.75,190,225,0,0,0,0,0,0,4,0,,,,690,14.5,7700,7470,30.5,,,,,,,,,,,,,,,406.62,43.599998,337.32001,40.166668,373.32999,39.25,384.98334,42.141666,6,78.267479,1019.1236,940.85614,.83086014,8.3074589,5.1298985,4.1108737,13.017222,13.017222,10.179944,13.295353,10.543788,5.1092129,8.0707502,7.6596432,7.6638775,5.3070292,4.7957907,5.1761498,66.281067,66.562454,23.917461,24.198843,59.775841,87.671234,35.367371,62.764633,,3.4177268,,8.9489756,0,0,0,1,1,1
27001,MN-001,Aitkin County,2018,39.25,373.32999,Minnesota,Aitkin County,15887,.60157043,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7825,15066,7556,14519,269,547,LAUCN270010000000003          ,6.1,"Unemployment Rate: Aitkin County, MN (U)",449,4090,148254951,697,8.3163004,6.5467854,18.814444,.88801181,3.8748138,112,110,112,110,23911010,23595010,112,110,0,0,0,0,0,0,112,110,0,0,0,0,0,0,23911010,23595010,0,0,0,0,0,0,153,1350,9014,61,633869,15738,40276,467027,479256,25919,3.23,170.88,,135.7,11562,1779,944,10932,1697,901,.15386611,.08164677,.15523235,.082418591,3290.25,2271,2187,2909.5,888,804,0,0,0,0,0,0,4,0,23.5,43,44,3071.25,30,32,0,0,0,0,0,0,4,0,176.25,194,174,3200.75,126,107,0,0,0,0,0,0,4,0,422,163,174,3434,68,79,0,0,0,0,0,0,4,0,558.25,371,357,1990.5,127,113,0,0,0,0,0,0,4,0,117.25,83,87,3461,18,23,0,0,0,0,0,0,4,0,812.75,442,433,3450.75,113,103,0,0,0,0,0,0,4,0,470,500,459,1124.25,184,141,0,0,0,0,0,0,4,0,1000,500,90.40000000000001,,,5900,5840,28.6,,,,,,,,,,,,,,,411.01001,42.658333,406.62,43.599998,404.66,38.400002,396.98666,41.836109,7,34.430668,948.32251,913.89185,.83086014,8.3163004,4.7273879,4.1271343,13.054142,13.07999,10.162731,13.359597,10.603511,5.1409616,8.0990229,7.728416,7.690743,5.1775613,5.2729998,5.1647859,69.02211,66.469116,26.988831,24.435833,110.07092,98.723404,71.489365,60.709221,4.5042443,3.3534067,6.9077554,8.6827078,1,1,1,1,1,1
27001,MN-001,Aitkin County,2019,38.400002,404.66,Minnesota,Aitkin County,15886,-.0062944544,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,7675,14704,7675,14567,0,137,LAUCN270010000000003          ,6.6,"Unemployment Rate: Aitkin County, MN (U)",450,4147,152546815,707,8.3301401,6.5610309,18.842981,1.393643,1.4347203,119,117,119,117,26631445,26315445,119,117,0,0,0,0,0,0,119,117,0,0,0,0,0,0,26631445,26315445,0,0,0,0,0,0,178,1679,9594,61,655457,15675,41815,489996,517189,27190,5.67,180.58,,143.4,11808,1718,1176,11171,1634,1126,.14549458,.099593498,.1462716,.10079671,3430,2417,2342,2993.75,959,883,0,0,0,0,0,0,4,0,21.5,43,45,3713.5,25,24,0,1,0,0,0,0,4,0,188.5,200,186,3366.25,118,104,0,0,0,0,0,0,4,0,396.5,137,157,3359,56,76,0,0,0,0,0,0,4,0,591.25,440,460,2094.75,130,149,0,0,0,0,0,0,4,0,119.25,78,78,3297.75,27,26,0,0,0,0,0,0,4,0,816.25,368,335,3659.75,86,55,0,0,0,0,0,0,4,0,539.5,690,605,1130.75,296,211,0,0,0,0,0,0,4,0,,,,610,14.5,,,,,,,,,,,,,,,,,,373.32999,39.25,411.01001,42.658333,385.57001,40.466667,396.33334,40.102779,8,8.6239452,925.59485,916.97095,.83086014,8.3301401,4.7874918,4.1271343,13.102153,13.156163,10.210605,13.393088,10.64101,5.1961737,8.1406069,7.7906961,7.7591872,5.2443891,5.3033047,5.2311087,70.466469,68.279884,27.959183,25.743441,106.1008,98.673737,62.599468,55.172413,,,,,0,0,0,0,0,0
27001,MN-001,Aitkin County,2020,40.466667,385.57001,Minnesota,Aitkin County,15708,-1.1204834,Minnesota,MN,27,Aitkin,1,27001,19859136,56.583969,Relatively Low,15472528,51.51609,Relatively Low,72.868958,Relatively High,98.15522,Very High,92529.313,43.225189,Relatively Low,13323789,69.370232,Relatively Low,75930.867,57.60178,Very Low,279029.47,43.256264,Relatively Low,19541.748,21.133036,Very Low,December 2025,8457,16456,7610,14684,847,1772,LAUCN270010000000003          ,8.800000000000001,"Unemployment Rate: Aitkin County, MN (U)",464,4013,160160742,767,8.2972946,6.6424866,18.891689,-3.2312515,8.4865627,149,147,149,147,35264338,34948338,149,147,0,0,0,0,0,0,149,147,0,0,0,0,0,0,35264338,34948338,0,0,0,0,0,0,176,1655,10064,62,737413,15714,46927,464813,505676,26882,3.24,186.42,,148.04,11954,1658,1237,11291,1576,1186,.13869834,.10348001,.13958021,.10503941,3267.25,2343,2443,3383.75,879,980,0,0,0,0,0,0,4,0,23.25,50,47,3509.5,29,26,0,0,0,0,0,0,4,0,190.25,169,165,3592.25,113,110,0,0,0,0,0,0,4,0,347,126,143,3879.25,41,56,0,0,0,0,0,0,4,0,559,475,442,2400.25,175,144,0,0,0,0,0,0,4,0,111.25,57,59,3478.5,17,17,0,0,0,0,0,0,4,0,844.25,434,418,4111,91,73,0,0,0,0,0,0,4,0,491.25,579,674,1086,188,283,0,0,0,0,0,0,4,0,2000,690,134.6,1300,17,8300,7650,38.6,,,,3,5.5,2.9,3.2,10,1.2,1.1,8.300000000000001,,,,404.66,38.400002,373.32999,39.25,302.25,42.099998,387.85333,39.372223,9,112.80876,1047.619,934.8103,.83086014,8.2972946,5.0106354,4.1431346,13.049391,13.133652,10.199212,13.510903,10.756349,5.2280021,8.0920095,7.759614,7.8013911,5.2535815,5.1357985,5.1119876,71.711685,74.772362,26.903358,29.994644,88.830482,86.727989,59.395531,57.818661,4.9023075,3.6532524,7.6009026,9.0240107,1,1,1,1,1,1
