county_fips,county_name,year,series,value,cv_pct
27001,Aitkin,2011,corn_silage_harv_acres,180,
27001,Aitkin,2011,corn_silage_yield_tonac,11.5,
27001,Aitkin,2011,soy_harv_acres,6200,
27001,Aitkin,2011,soy_planted_acres,6200,
27001,Aitkin,2011,soy_yield_buac,30.8,
27001,Aitkin,2012,soy_harv_acres,8000,
27001,Aitkin,2012,soy_planted_acres,9100,
27001,Aitkin,2012,soy_yield_buac,28.4,
27001,Aitkin,2013,corn_grain_harv_acres,2200,
27001,Aitkin,2013,corn_grain_yield_buac,74.2,
27001,Aitkin,2013,corn_planted_acres,3000,
27001,Aitkin,2014,corn_grain_harv_acres,950,
27001,Aitkin,2014,corn_grain_yield_buac,81.59999999999999,
27001,Aitkin,2014,corn_planted_acres,2000,
27001,Aitkin,2015,soy_harv_acres,6000,
27001,Aitkin,2015,soy_planted_acres,6100,
27001,Aitkin,2015,soy_yield_buac,32,
27001,Aitkin,2016,corn_grain_harv_acres,650,
27001,Aitkin,2016,corn_grain_yield_buac,113.5,
27001,Aitkin,2016,corn_planted_acres,1400,
27001,Aitkin,2016,corn_silage_harv_acres,650,
27001,Aitkin,2016,corn_silage_yield_tonac,16.5,
27001,Aitkin,2017,corn_silage_harv_acres,690,
27001,Aitkin,2017,corn_silage_yield_tonac,14.5,
27001,Aitkin,2017,soy_harv_acres,7470,
27001,Aitkin,2017,soy_planted_acres,7700,
27001,Aitkin,2017,soy_yield_buac,30.5,
27001,Aitkin,2018,corn_grain_harv_acres,500,
27001,Aitkin,2018,corn_grain_yield_buac,90.40000000000001,
27001,Aitkin,2018,corn_planted_acres,1000,
27001,Aitkin,2018,soy_harv_acres,5840,
27001,Aitkin,2018,soy_planted_acres,5900,
27001,Aitkin,2018,soy_yield_buac,28.6,
27001,Aitkin,2019,corn_silage_harv_acres,610,
27001,Aitkin,2019,corn_silage_yield_tonac,14.5,
27001,Aitkin,2020,corn_grain_harv_acres,690,3
27001,Aitkin,2020,corn_grain_yield_buac,134.6,5.5
27001,Aitkin,2020,corn_planted_acres,2000,2.9
27001,Aitkin,2020,corn_silage_harv_acres,1300,3.2
27001,Aitkin,2020,corn_silage_yield_tonac,17,10
27001,Aitkin,2020,soy_harv_acres,7650,1.2
27001,Aitkin,2020,soy_planted_acres,8300,1.1
27001,Aitkin,2020,soy_yield_buac,38.6,8.300000000000001
27001,Aitkin,2021,corn_grain_harv_acres,800,7.2
27001,Aitkin,2021,corn_grain_yield_buac,94.5,4.6
27001,Aitkin,2021,corn_planted_acres,1700,7.2
27001,Aitkin,2021,corn_silage_harv_acres,880,7.5
27001,Aitkin,2021,corn_silage_yield_tonac,8.5,14.8
27001,Aitkin,2022,corn_grain_harv_acres,820,2
27001,Aitkin,2022,corn_grain_yield_buac,143.9,8.4
27001,Aitkin,2022,corn_planted_acres,2100,1.8
27001,Aitkin,2022,corn_silage_harv_acres,1080,2
27001,Aitkin,2022,corn_silage_yield_tonac,14.5,11.9
27001,Aitkin,2022,soy_harv_acres,4760,.8
27001,Aitkin,2022,soy_planted_acres,4800,.8
27001,Aitkin,2022,soy_yield_buac,27.7,8.800000000000001
27001,Aitkin,2023,corn_grain_harv_acres,700,2.3
27001,Aitkin,2023,corn_grain_yield_buac,129.9,10.9
27001,Aitkin,2023,corn_planted_acres,2300,2.9
27001,Aitkin,2023,corn_silage_harv_acres,1230,2.9
27001,Aitkin,2023,corn_silage_yield_tonac,9,10.3
27001,Aitkin,2023,soy_harv_acres,8740,1.6
27001,Aitkin,2023,soy_planted_acres,8900,1.5
27001,Aitkin,2023,soy_yield_buac,31.7,11
27003,Anoka,2011,corn_grain_harv_acres,6700,
27003,Anoka,2011,corn_grain_yield_buac,117.2,
27003,Anoka,2011,corn_planted_acres,6900,
27003,Anoka,2011,corn_silage_harv_acres,190,
27003,Anoka,2011,corn_silage_yield_tonac,8.9,
27003,Anoka,2012,corn_grain_harv_acres,8300,
27003,Anoka,2012,corn_grain_yield_buac,129.8,
27003,Anoka,2012,corn_planted_acres,8800,
27003,Anoka,2012,soy_harv_acres,3580,
27003,Anoka,2012,soy_planted_acres,3600,
27003,Anoka,2012,soy_yield_buac,35.5,
27003,Anoka,2013,corn_grain_harv_acres,7700,
27003,Anoka,2013,corn_grain_yield_buac,104.9,
27003,Anoka,2013,corn_planted_acres,8500,
27003,Anoka,2013,soy_harv_acres,3330,
27003,Anoka,2013,soy_planted_acres,3400,
27003,Anoka,2013,soy_yield_buac,22,
27003,Anoka,2014,corn_grain_harv_acres,6420,
27003,Anoka,2014,corn_grain_yield_buac,109,
27003,Anoka,2014,corn_planted_acres,6800,
27003,Anoka,2014,corn_silage_harv_acres,310,
27003,Anoka,2014,corn_silage_yield_tonac,13,
27003,Anoka,2015,corn_grain_harv_acres,7410,
27003,Anoka,2015,corn_grain_yield_buac,132.1,
27003,Anoka,2015,corn_planted_acres,7500,
27003,Anoka,2015,soy_harv_acres,4000,
27003,Anoka,2015,soy_planted_acres,4100,
27003,Anoka,2015,soy_yield_buac,42.5,
27003,Anoka,2016,corn_grain_harv_acres,6730,
27003,Anoka,2016,corn_grain_yield_buac,166.7,
27003,Anoka,2016,corn_planted_acres,6900,
27003,Anoka,2016,soy_harv_acres,3800,
27003,Anoka,2016,soy_planted_acres,3800,
27003,Anoka,2016,soy_yield_buac,50,
27003,Anoka,2017,corn_grain_harv_acres,6140,
27003,Anoka,2017,corn_grain_yield_buac,153.3,
27003,Anoka,2017,corn_planted_acres,6300,
27003,Anoka,2017,soy_harv_acres,4090,
27003,Anoka,2017,soy_planted_acres,4100,
27003,Anoka,2017,soy_yield_buac,35.5,
27003,Anoka,2018,corn_grain_harv_acres,5060,
27003,Anoka,2018,corn_grain_yield_buac,144.7,
27003,Anoka,2018,corn_planted_acres,5300,
27003,Anoka,2018,soy_harv_acres,5030,
27003,Anoka,2018,soy_planted_acres,5100,
27003,Anoka,2018,soy_yield_buac,31.6,
27003,Anoka,2020,corn_grain_harv_acres,5270,1.3
27003,Anoka,2020,corn_grain_yield_buac,152.4,4.4
27003,Anoka,2020,corn_planted_acres,5600,1.1
27003,Anoka,2020,corn_silage_harv_acres,280,4.3
27003,Anoka,2020,corn_silage_yield_tonac,19,10.8
27003,Anoka,2020,soy_harv_acres,3240,3
27003,Anoka,2020,soy_planted_acres,3300,3
27003,Anoka,2020,soy_yield_buac,45.7,7.2
27003,Anoka,2021,corn_grain_harv_acres,4100,1.7
27003,Anoka,2021,corn_grain_yield_buac,111.7,10
27003,Anoka,2021,corn_planted_acres,5400,1.6
27003,Anoka,2021,soy_harv_acres,3370,1.3
27003,Anoka,2021,soy_planted_acres,3400,1.1
27003,Anoka,2021,soy_yield_buac,34.4,12.5
27003,Anoka,2022,corn_grain_harv_acres,4310,1
27003,Anoka,2022,corn_grain_yield_buac,152.4,4.3
27003,Anoka,2022,corn_planted_acres,4500,.9
27003,Anoka,2022,soy_harv_acres,3670,1.1
27003,Anoka,2022,soy_planted_acres,3700,1
27003,Anoka,2022,soy_yield_buac,45.5,5.7
