county_fips,county_code,county_name,year,temp_avg,precip_total
27001,MN-001,Aitkin County,2011,40.574999999999996,372.87
27001,MN-001,Aitkin County,2012,44.36666666666667,389.07
27001,MN-001,Aitkin County,2013,39.925,359.58
27001,MN-001,Aitkin County,2014,36.516666666666666,375.75
27001,MN-001,Aitkin County,2015,40.166666666666664,337.32
27001,MN-001,Aitkin County,2016,43.6,406.62
27001,MN-001,Aitkin County,2017,42.65833333333333,411.01
27001,MN-001,Aitkin County,2018,39.25,373.33
27001,MN-001,Aitkin County,2019,38.4,404.66
27001,MN-001,Aitkin County,2020,40.46666666666667,385.57
27001,MN-001,Aitkin County,2021,42.1,302.25
27001,MN-001,Aitkin County,2022,39.916666666666664,348.03
27001,MN-001,Aitkin County,2023,40.949999999999996,336.5
27003,MN-003,Anoka County,2011,44.208333333333336,442.84
27003,MN-003,Anoka County,2012,48.574999999999996,369.84
27003,MN-003,Anoka County,2013,44.28333333333333,353.77
27003,MN-003,Anoka County,2014,40.675000000000004,402.88
27003,MN-003,Anoka County,2015,44.01666666666667,377.9
27003,MN-003,Anoka County,2016,47.833333333333336,443.37
27003,MN-003,Anoka County,2017,47.13333333333333,428.3
27003,MN-003,Anoka County,2018,43.63333333333333,347.14
27003,MN-003,Anoka County,2019,42.791666666666664,412.92
27003,MN-003,Anoka County,2020,44.50833333333333,377.54
27003,MN-003,Anoka County,2021,45.833333333333336,265.94
27003,MN-003,Anoka County,2022,44.525,281.13
27003,MN-003,Anoka County,2023,45.199999999999996,316.81
27005,MN-005,Becker County,2011,39.75,343.55
27005,MN-005,Becker County,2012,44.39166666666667,259.26
27005,MN-005,Becker County,2013,39.81666666666667,304.90999999999997
27005,MN-005,Becker County,2014,36.875,325.35
27005,MN-005,Becker County,2015,40.56666666666667,280.64
27005,MN-005,Becker County,2016,44.05833333333334,322.24
27005,MN-005,Becker County,2017,42.675000000000004,312.4
27005,MN-005,Becker County,2018,39.03333333333333,275.46999999999997
27005,MN-005,Becker County,2019,37.625,322.71
27005,MN-005,Becker County,2020,39.425000000000004,334.97
27005,MN-005,Becker County,2021,41.975,230.32
27005,MN-005,Becker County,2022,39.74166666666667,288.38
27005,MN-005,Becker County,2023,40.15,253.41
27007,MN-007,Beltrami County,2011,39.0,313.03
27007,MN-007,Beltrami County,2012,42.791666666666664,249.42
27007,MN-007,Beltrami County,2013,38.208333333333336,271.03
27007,MN-007,Beltrami County,2014,35.025,303.61
27007,MN-007,Beltrami County,2015,39.03333333333333,278.04
27007,MN-007,Beltrami County,2016,42.699999999999996,292.97
27007,MN-007,Beltrami County,2017,41.699999999999996,261.07
27007,MN-007,Beltrami County,2018,38.208333333333336,238.93
27007,MN-007,Beltrami County,2019,36.699999999999996,309.64
27007,MN-007,Beltrami County,2020,38.475,323.88
27007,MN-007,Beltrami County,2021,40.975,241.4
27007,MN-007,Beltrami County,2022,38.641666666666666,299.69
27007,MN-007,Beltrami County,2023,39.44166666666667,249.85
27009,MN-009,Benton County,2011,42.625,442.34
27009,MN-009,Benton County,2012,47.13333333333333,345.81
27009,MN-009,Benton County,2013,42.55833333333333,323.28
27009,MN-009,Benton County,2014,39.4,404.05
27009,MN-009,Benton County,2015,42.800000000000004,376.42
27009,MN-009,Benton County,2016,46.03333333333333,400.97
27009,MN-009,Benton County,2017,45.324999999999996,405.18
27009,MN-009,Benton County,2018,42.074999999999996,351.89
27009,MN-009,Benton County,2019,40.891666666666666,413.92
27009,MN-009,Benton County,2020,42.90833333333333,389.89
27009,MN-009,Benton County,2021,44.458333333333336,299.2
27009,MN-009,Benton County,2022,43.025,339.76
27009,MN-009,Benton County,2023,43.64166666666667,338.86
27011,MN-011,Big Stone County,2011,42.266666666666666,362.75
27011,MN-011,Big Stone County,2012,47.574999999999996,248.19
27011,MN-011,Big Stone County,2013,42.56666666666667,268.62
27011,MN-011,Big Stone County,2014,40.80833333333333,312.88
27011,MN-011,Big Stone County,2015,44.01666666666667,281.39
27011,MN-011,Big Stone County,2016,47.34166666666667,284.04
27011,MN-011,Big Stone County,2017,46.25833333333333,321.77
27011,MN-011,Big Stone County,2018,43.541666666666664,297.2
27011,MN-011,Big Stone County,2019,41.6,350.22
27011,MN-011,Big Stone County,2020,43.75,302.83
27011,MN-011,Big Stone County,2021,46.05833333333334,271.9
27011,MN-011,Big Stone County,2022,44.11666666666667,329.97
27011,MN-011,Big Stone County,2023,43.525,245.11
27013,MN-013,Blue Earth County,2011,44.71666666666667,452.64
27013,MN-013,Blue Earth County,2012,49.583333333333336,309.06
