date,temp_avg,year,county_code,county_name
201101,42.0,2011,MN-001,Aitkin County
201102,42.0,2011,MN-001,Aitkin County
201103,40.9,2011,MN-001,Aitkin County
201104,40.2,2011,MN-001,Aitkin County
201105,40.0,2011,MN-001,Aitkin County
201106,39.9,2011,MN-001,Aitkin County
201107,40.1,2011,MN-001,Aitkin County
201108,39.9,2011,MN-001,Aitkin County
201109,40.2,2011,MN-001,Aitkin County
201110,40.2,2011,MN-001,Aitkin County
201111,40.3,2011,MN-001,Aitkin County
201112,41.2,2011,MN-001,Aitkin County
201201,42.2,2012,MN-001,Aitkin County
201202,42.9,2012,MN-001,Aitkin County
201203,44.3,2012,MN-001,Aitkin County
201204,44.5,2012,MN-001,Aitkin County
201205,44.9,2012,MN-001,Aitkin County
201206,45.2,2012,MN-001,Aitkin County
201207,45.3,2012,MN-001,Aitkin County
201208,45.2,2012,MN-001,Aitkin County
201209,45.1,2012,MN-001,Aitkin County
201210,44.5,2012,MN-001,Aitkin County
201211,44.4,2012,MN-001,Aitkin County
201212,43.9,2012,MN-001,Aitkin County
201301,43.3,2013,MN-001,Aitkin County
201302,42.5,2013,MN-001,Aitkin County
201303,40.9,2013,MN-001,Aitkin County
201304,40.0,2013,MN-001,Aitkin County
201305,39.6,2013,MN-001,Aitkin County
201306,39.3,2013,MN-001,Aitkin County
201307,38.8,2013,MN-001,Aitkin County
201308,38.9,2013,MN-001,Aitkin County
201309,39.3,2013,MN-001,Aitkin County
201310,39.4,2013,MN-001,Aitkin County
201311,39.1,2013,MN-001,Aitkin County
201312,38.0,2013,MN-001,Aitkin County
201401,37.2,2014,MN-001,Aitkin County
201402,36.3,2014,MN-001,Aitkin County
201403,36.1,2014,MN-001,Aitkin County
201404,36.4,2014,MN-001,Aitkin County
201405,36.5,2014,MN-001,Aitkin County
201406,36.7,2014,MN-001,Aitkin County
201407,36.6,2014,MN-001,Aitkin County
201408,36.5,2014,MN-001,Aitkin County
201409,36.3,2014,MN-001,Aitkin County
201410,36.4,2014,MN-001,Aitkin County
201411,35.9,2014,MN-001,Aitkin County
201412,37.3,2014,MN-001,Aitkin County
201501,38.4,2015,MN-001,Aitkin County
201502,38.5,2015,MN-001,Aitkin County
201503,39.4,2015,MN-001,Aitkin County
201504,40.0,2015,MN-001,Aitkin County
201505,40.0,2015,MN-001,Aitkin County
201506,39.9,2015,MN-001,Aitkin County
201507,40.2,2015,MN-001,Aitkin County
201508,40.1,2015,MN-001,Aitkin County
201509,40.5,2015,MN-001,Aitkin County
201510,40.7,2015,MN-001,Aitkin County
201511,42.0,2015,MN-001,Aitkin County
201512,42.3,2015,MN-001,Aitkin County
201601,42.3,2016,MN-001,Aitkin County
201602,43.4,2016,MN-001,Aitkin County
201603,43.9,2016,MN-001,Aitkin County
201604,43.6,2016,MN-001,Aitkin County
201605,43.8,2016,MN-001,Aitkin County
201606,43.8,2016,MN-001,Aitkin County
201607,43.7,2016,MN-001,Aitkin County
201608,44.0,2016,MN-001,Aitkin County
201609,43.7,2016,MN-001,Aitkin County
201610,43.8,2016,MN-001,Aitkin County
201611,44.0,2016,MN-001,Aitkin County
201612,43.2,2016,MN-001,Aitkin County
201701,43.4,2017,MN-001,Aitkin County
201702,43.6,2017,MN-001,Aitkin County
201703,43.0,2017,MN-001,Aitkin County
201704,43.2,2017,MN-001,Aitkin County
201705,43.0,2017,MN-001,Aitkin County
201706,43.0,2017,MN-001,Aitkin County
201707,42.9,2017,MN-001,Aitkin County
201708,42.5,2017,MN-001,Aitkin County
201709,42.6,2017,MN-001,Aitkin County
201710,42.4,2017,MN-001,Aitkin County
201711,41.3,2017,MN-001,Aitkin County
201712,41.0,2017,MN-001,Aitkin County
201801,40.6,2018,MN-001,Aitkin County
201802,39.4,2018,MN-001,Aitkin County
201803,39.4,2018,MN-001,Aitkin County
201804,38.5,2018,MN-001,Aitkin County
201805,39.0,2018,MN-001,Aitkin County
201806,39.1,2018,MN-001,Aitkin County
201807,39.2,2018,MN-001,Aitkin County
201808,39.6,2018,MN-001,Aitkin County
201809,39.4,2018,MN-001,Aitkin County
201810,38.9,2018,MN-001,Aitkin County
201811,38.6,2018,MN-001,Aitkin County
201812,39.3,2018,MN-001,Aitkin County
201901,38.9,2019,MN-001,Aitkin County
201902,38.8,2019,MN-001,Aitkin County
201903,38.4,2019,MN-001,Aitkin County
201904,39.1,2019,MN-001,Aitkin County
201905,38.2,2019,MN-001,Aitkin County
201906,38.1,2019,MN-001,Aitkin County
201907,38.2,2019,MN-001,Aitkin County
201908,38.0,2019,MN-001,Aitkin County
201909,38.1,2019,MN-001,Aitkin County
201910,38.3,2019,MN-001,Aitkin County
201911,38.5,2019,MN-001,Aitkin County
