
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Pop growth",="IRS net mig rate",="Log QCEW emp",="Log permit units",="Log const estabs"

="temp_avg",="0.0219",="0.0274",="-0.0005",="-0.0161",="0.0122**"
="",="(0.0696)",="(2.2517)",="(0.0033)",="(0.0475)",="(0.0047)"

="precip_total",="-0.0020**",="-0.0348",="-0.0000",="-0.0009*",="0.0000"
="",="(0.0009)",="(0.0276)",="(0.0000)",="(0.0005)",="(0.0001)"

="N",="1044.0000",="1044.0000",="1131.0000",="1131.0000",="1131.0000"
="Within R-squared",="0.2317",="0.2477",="0.7849",="0.3670",="0.5963"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
