
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Pop growth",="IRS net mig rate",="Log QCEW emp",="Log permit units",="Log const estabs"

="temp_avg",="0.0572",="1.8409",="0.0010",="-0.0145",="0.0045"
="",="(0.0704)",="(2.2267)",="(0.0052)",="(0.0491)",="(0.0081)"

="precip_total",="-0.0019**",="-0.0565**",="-0.0002***",="-0.0021***",="-0.0002**"
="",="(0.0008)",="(0.0268)",="(0.0001)",="(0.0005)",="(0.0001)"

="N",="1044.0000",="1044.0000",="1131.0000",="1131.0000",="1131.0000"
="Within R-squared",="0.1323",="0.1206",="0.1570",="0.1701",="0.0448"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
