
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Corn planted contemp",="Corn planted lag",="Corn planted MA3",="Soy planted contemp",="Soy planted lag",="Soy planted MA3"

="temp_avg",="0.0043",="",="",="0.0426***",="",=""
="",="(0.0112)",="",="",="(0.0106)",="",=""

="precip_total",="-0.0001",="",="",="-0.0002*",="",=""
="",="(0.0001)",="",="",="(0.0001)",="",=""

="L1_temp",="",="0.0265*",="",="",="0.0020",=""
="",="",="(0.0157)",="",="",="(0.0104)",=""

="L1_precip",="",="0.0009***",="",="",="0.0001",=""
="",="",="(0.0002)",="",="",="(0.0001)",=""

="temp_ma3",="",="",="0.0552*",="",="",="0.0391*"
="",="",="",="(0.0278)",="",="",="(0.0219)"

="precip_ma3",="",="",="0.0006**",="",="",="-0.0002"
="",="",="",="(0.0002)",="",="",="(0.0002)"

="N",="913.0000",="841.0000",="768.0000",="910.0000",="836.0000",="763.0000"
="Within R-squared",="0.1577",="0.2110",="0.1650",="0.3069",="0.2930",="0.3097"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
