
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Pop growth",="IRS net mig rate",="Log QCEW emp",="Log permit units",="Log const estabs"

="temp_avg",="0.0874",="2.2758",="-0.0036",="-0.0432",="-0.0035"
="",="(0.0846)",="(2.6602)",="(0.0059)",="(0.0533)",="(0.0091)"

="precip_total",="-0.0022**",="-0.0442",="-0.0001***",="-0.0016***",="-0.0002***"
="",="(0.0010)",="(0.0290)",="(0.0000)",="(0.0005)",="(0.0001)"

="F1_precip",="0.0010",="0.0051",="-0.0001***",="-0.0016***",="-0.0001"
="",="(0.0010)",="(0.0328)",="(0.0000)",="(0.0005)",="(0.0001)"

="N",="957.0000",="957.0000",="1044.0000",="1044.0000",="1044.0000"
="Within R-squared",="0.1405",="0.1106",="0.1776",="0.1925",="0.0455"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
