
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Pop growth",="IRS net mig rate",="Log QCEW emp",="Log permit units",="Log const estabs"

="temp_avg",="-0.1114",="-0.6904",="-0.0056",="0.1160*",="-0.0072"
="",="(0.1417)",="(3.7444)",="(0.0065)",="(0.0587)",="(0.0089)"

="precip_total",="0.0034*",="0.0192",="-0.0003***",="-0.0025***",="-0.0003***"
="",="(0.0018)",="(0.0399)",="(0.0001)",="(0.0005)",="(0.0001)"

="N",="1044.0000",="1044.0000",="1131.0000",="1131.0000",="1131.0000"
="R-squared",="0.4663",="0.6697",="0.9996",="0.9678",="0.9989"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
