
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="TP hires",="TP sep rate",="TP emp",="Const hires",="Const sep rate",="Const emp"

="temp_avg",="-0.0100",="0.9234*",="-0.0122",="-0.0145",="0.6699",="-0.0013"
="",="(0.0116)",="(0.5481)",="(0.0077)",="(0.0242)",="(1.3420)",="(0.0174)"

="precip_total",="-0.0002*",="0.0070",="-0.0002***",="0.0002",="0.0461***",="-0.0002"
="",="(0.0001)",="(0.0048)",="(0.0001)",="(0.0002)",="(0.0128)",="(0.0002)"

="N",="1131.0000",="1131.0000",="1131.0000",="1094.0000",="1106.0000",="1131.0000"
="Within R-squared",="0.1842",="0.1975",="0.0831",="0.0457",="0.2611",="0.2519"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
